#{"t_start": 1754647025.254417, "env_id": null}
r,l,t
182.0,141,11.303684
215.0,107,13.809026
-32.0,357,16.415087
408.0,927,30.346936
-46.0,1000,32.081413
485.0,1000,32.081413
156.0,1000,32.08241
169.0,1000,32.08241
285.0,1000,32.08241
173.0,79,32.383363
300.0,1000,38.270361
230.0,1000,41.093116
-1.0,516,45.187152
217.0,54,46.489257
163.0,1000,57.834947
399.0,1000,57.834947
139.0,1000,57.834947
313.0,1000,57.834947
177.0,1000,58.06932
61.0,165,175.172216
191.0,212,176.140752
444.0,1000,176.976818
101.0,151,178.687243
349.0,1000,179.514233
470.0,1000,184.595617
570.0,313,192.04493
461.0,1000,194.81233
481.0,1000,194.81233
414.0,1000,194.81233
651.0,1000,199.806925
653.0,1000,200.647186
478.0,1000,202.40103
649.0,1000,203.216916
177.0,130,203.695917
487.0,733,212.333006
428.0,1000,216.340224
177.0,152,216.392084
513.0,534,217.088241
75.0,103,218.924963
455.0,1000,219.271038
456.0,1000,219.271038
168.0,181,220.894732
201.0,76,221.136592
170.0,84,334.01423
664.0,1000,335.448087
188.0,66,335.53955
237.0,62,336.912595
239.0,60,336.967546
474.0,1000,338.057082
223.0,57,338.280081
464.0,1000,338.935159
230.0,89,340.334143
645.0,447,341.180814
223.0,81,342.257596
202.0,74,344.017284
573.0,220,344.278585
239.0,42,344.963792
212.0,50,345.469954
448.0,1000,352.194007
658.0,1000,353.918859
481.0,1000,356.129357
561.0,192,358.621199
782.0,269,358.696995
611.0,125,359.189052
231.0,54,359.999206
473.0,1000,360.986561
161.0,76,361.833146
450.0,879,362.182098
482.0,1000,362.305616
191.0,61,363.281129
482.0,1000,369.011765
482.0,1000,369.572879
1199.0,755,379.933351
967.0,535,382.607708
877.0,980,496.901462
664.0,1000,497.940682
238.0,44,497.963621
559.0,918,499.024282
239.0,36,499.893773
636.0,83,500.01445
482.0,1000,501.062424
616.0,159,501.718926
481.0,1000,501.995124
246.0,41,501.995124
571.0,130,502.900749
233.0,44,503.058856
213.0,64,504.704986
583.0,122,505.020141
615.0,249,508.330205
482.0,1000,508.780998
243.0,36,509.215835
720.0,617,509.291633
227.0,46,510.362768
683.0,231,510.869413
238.0,40,511.380583
239.0,59,512.335149
601.0,186,513.99296
699.0,723,514.780168
230.0,45,515.106971
594.0,150,519.026993
578.0,264,519.144679
604.0,112,522.012409
610.0,135,522.483171
242.0,67,523.830077
482.0,1000,525.854253
1276.0,892,526.30804
946.0,718,527.411121
634.0,168,528.315211
216.0,50,529.635226
656.0,1000,531.338193
243.0,41,532.444129
772.0,213,533.043968
624.0,83,534.610862
235.0,64,534.707764
654.0,1000,537.55662
230.0,47,538.812341
658.0,1000,541.136758
744.0,266,541.613549
707.0,466,547.060685
869.0,974,548.373602
221.0,51,548.399532
604.0,312,661.608005
606.0,74,662.005709
245.0,39,662.960853
590.0,119,663.129821
476.0,1000,663.769822
249.0,30,663.840732
482.0,1000,664.174878
251.0,35,665.002694
611.0,118,665.758784
244.0,36,666.578284
573.0,219,666.805119
658.0,1000,667.167469
627.0,148,668.457002
225.0,47,669.832846
235.0,43,670.851027
808.0,174,671.190121
657.0,1000,675.942657
1266.0,501,676.204834
970.0,519,676.544087
796.0,237,676.736866
482.0,1000,677.969311
620.0,105,678.968547
625.0,74,679.673109
666.0,524,680.020562
245.0,31,680.378345
235.0,64,680.420746
246.0,35,681.273398
215.0,51,681.698226
620.0,236,682.280366
739.0,281,682.543271
1256.0,480,682.77613
243.0,36,683.156451
1023.0,295,683.156451
228.0,46,683.657569
214.0,51,684.017513
1320.0,199,684.8035
681.0,761,685.100462
632.0,168,685.284816
240.0,38,685.691455
609.0,114,685.831737
242.0,37,686.574382
229.0,73,687.594759
211.0,50,687.777271
1030.0,206,688.536242
229.0,52,689.872574
997.0,381,692.557238
600.0,130,693.318284
233.0,37,693.576698
230.0,43,694.655349
244.0,39,694.782011
599.0,179,699.349148
201.0,56,700.691084
240.0,45,701.768058
961.0,551,701.789002
1206.0,800,701.837871
622.0,664,701.974295
230.0,48,702.875754
628.0,645,704.205197
637.0,154,705.592345
752.0,188,706.272769
587.0,227,708.23778
603.0,105,708.755838
658.0,1000,708.82964
206.0,54,710.04203
693.0,350,710.063972
482.0,1000,710.106857
604.0,111,711.450315
607.0,88,831.863076
762.0,374,832.782731
1211.0,854,835.036003
211.0,48,836.192294
724.0,218,836.447326
635.0,158,836.62212
998.0,377,837.040745
1001.0,360,838.399732
1000.0,360,838.473533
954.0,598,839.654696
628.0,90,840.660314
231.0,49,840.836524
244.0,43,841.838645
607.0,76,842.464664
1303.0,284,843.42581
715.0,307,843.552552
233.0,45,844.504431
247.0,42,844.551812
609.0,103,844.940345
250.0,32,845.273
994.0,358,845.594603
701.0,393,845.863162
236.0,40,845.887141
625.0,93,846.785971
209.0,50,847.078401
606.0,85,847.304472
234.0,43,848.128002
597.0,106,848.398048
223.0,46,849.196602
926.0,738,849.550274
616.0,111,849.963505
233.0,40,850.896325
598.0,117,852.362574
594.0,212,854.260925
617.0,108,854.966048
678.0,394,855.012931
749.0,178,855.158081
238.0,42,856.04162
632.0,104,857.479681
592.0,136,857.559468
708.0,678,858.091521
612.0,121,858.973296
900.0,887,859.718299
804.0,198,859.976609
959.0,561,860.282789
247.0,35,860.572016
677.0,512,860.744555
243.0,38,861.49695
639.0,140,862.398718
608.0,102,863.233203
737.0,269,864.026484
636.0,157,864.074351
221.0,42,864.218589
1308.0,217,866.907925
243.0,35,867.731628
725.0,394,867.80543
1027.0,223,867.916134
235.0,41,868.667188
236.0,41,868.849979
730.0,366,868.914909
661.0,483,869.313297
225.0,44,869.649738
635.0,99,870.05297
235.0,34,870.098846
631.0,99,871.128125
1540.0,380,873.169665
639.0,143,873.275382
979.0,453,874.740884
626.0,95,875.455541
1262.0,496,875.660898
780.0,319,878.333114
1317.0,268,879.202789
1271.0,527,997.814753
674.0,524,998.196216
640.0,135,998.572684
641.0,607,998.854885
1014.0,309,998.906747
1384.0,336,999.332583
649.0,94,1000.38892
614.0,75,1001.000602
758.0,425,1001.091359
623.0,109,1001.233977
227.0,45,1001.574068
800.0,131,1002.474659
632.0,86,1003.143281
249.0,29,1003.16724
1037.0,180,1003.306569
999.0,356,1003.355438
593.0,114,1003.838807
245.0,36,1004.003664
238.0,37,1004.16135
610.0,84,1005.30552
1040.0,256,1005.825297
620.0,96,1006.106637
816.0,134,1006.298567
234.0,40,1007.242134
605.0,72,1007.550388
603.0,117,1008.064744
588.0,181,1008.258456
221.0,39,1009.178969
1393.0,350,1009.803296
245.0,34,1009.959877
1000.0,400,1010.68793
786.0,286,1010.956213
234.0,39,1012.101563
1026.0,236,1014.771994
1135.0,303,1015.500632
1035.0,187,1015.525587
637.0,154,1015.674635
1030.0,207,1015.848786
768.0,314,1016.083361
606.0,155,1016.385341
231.0,50,1017.585273
602.0,91,1018.014125
609.0,106,1018.060999
609.0,112,1018.361196
609.0,98,1018.435999
245.0,36,1018.45694
239.0,38,1018.930202
635.0,156,1019.243364
244.0,40,1019.398948
248.0,34,1020.215273
583.0,114,1020.789752
1780.0,595,1021.331302
612.0,82,1023.282739
765.0,391,1024.070676
736.0,165,1024.696003
1017.0,275,1024.888488
1123.0,270,1025.348258
237.0,39,1025.637368
247.0,32,1026.394684
232.0,37,1027.282309
1520.0,374,1028.124575
584.0,150,1028.451692
247.0,34,1028.920873
761.0,154,1028.997069
242.0,32,1029.218069
629.0,99,1029.637474
1013.0,289,1030.119207
1850.0,498,1030.22892
791.0,264,1030.32765
610.0,69,1030.802893
221.0,47,1031.18886
622.0,81,1031.463636
1261.0,490,1031.764827
232.0,41,1032.153787
767.0,199,1035.020933
743.0,126,1035.262545
743.0,181,1035.878651
1026.0,230,1036.357371
607.0,72,1036.979706
1020.0,230,1037.350718
220.0,48,1037.488346
616.0,104,1037.488346
634.0,81,1037.805497
609.0,64,1038.546516
625.0,80,1039.453489
584.0,109,1040.016271
627.0,102,1040.300027
1271.0,482,1040.495337
1266.0,445,1041.017816
252.0,34,1041.275101
233.0,44,1041.325051
633.0,93,1041.662781
964.0,532,1041.737727
235.0,42,1042.052959
612.0,68,1043.065268
1019.0,267,1044.054679
244.0,33,1044.815644
629.0,83,1045.055004
589.0,133,1045.317302
246.0,34,1045.614507
562.0,245,1045.942629
1340.0,176,1149.196236
1285.0,338,1149.853479
2317.0,485,1150.157664
242.0,36,1150.686251
798.0,227,1150.946554
626.0,83,1151.129066
1014.0,285,1151.984778
756.0,435,1152.029657
219.0,42,1152.091492
619.0,92,1152.269017
1016.0,278,1152.433576
248.0,28,1152.668947
247.0,33,1152.851459
247.0,35,1153.246403
687.0,505,1153.270339
651.0,82,1153.87572
234.0,39,1154.152978
246.0,33,1154.647655
591.0,109,1155.812539
1326.0,165,1156.099771
614.0,103,1157.041253
1299.0,302,1157.944836
607.0,94,1158.284926
606.0,111,1158.377678
1029.0,189,1158.531267
248.0,33,1159.028936
240.0,44,1159.36803
238.0,41,1159.460781
250.0,35,1159.816829
1903.0,308,1159.95446
246.0,33,1160.111042
605.0,105,1160.316492
252.0,31,1160.652593
1285.0,367,1161.10638
221.0,43,1161.30086
599.0,98,1162.098725
1014.0,280,1163.522916
954.0,579,1164.122312
1047.0,175,1164.784541
