#{"t_start": 1756605591.0451152, "env_id": null}
r,l,t
607.0,73,2.073198
633.0,81,2.303581
625.0,81,2.303581
606.0,90,2.546931
606.0,93,2.627714
620.0,94,2.651651
606.0,101,2.840147
250.0,30,3.6061
605.0,75,4.217465
1027.0,219,5.632682
1043.0,151,5.74538
1070.0,140,5.963797
250.0,30,6.600096
1162.0,134,6.620042
1150.0,191,6.779616
806.0,187,6.967115
1695.0,191,6.994043
765.0,136,7.277286
250.0,30,7.756006
250.0,30,8.031271
613.0,68,8.522956
1046.0,138,9.07149
607.0,71,9.558188
1048.0,124,9.692828
805.0,192,10.256322
250.0,30,10.280258
252.0,29,10.400936
638.0,148,10.678195
770.0,172,10.907581
613.0,68,12.559166
1352.0,170,12.674856
1346.0,152,12.760627
593.0,105,12.816478
1035.0,195,12.816478
1587.0,175,14.32345
618.0,81,14.32345
1036.0,188,14.778233
250.0,30,15.043524
805.0,195,15.184149
599.0,121,15.503295
760.0,139,15.900235
1345.0,155,16.189461
1432.0,190,16.878619
640.0,75,17.206743
1044.0,138,17.491979
1050.0,124,17.615649
250.0,30,18.140246
1050.0,121,18.646892
1329.0,164,18.716706
1042.0,158,18.743634
250.0,30,19.384919
601.0,116,19.802802
603.0,75,20.359314
1048.0,124,20.386242
635.0,77,20.497944
1038.0,176,20.899869
613.0,68,20.969683
248.0,30,21.067422
622.0,66,21.309773
250.0,30,21.557112
250.0,30,21.624931
248.0,30,21.724664
1039.0,173,22.027854
1021.0,261,22.099662
634.0,89,22.339022
250.0,30,22.701054
237.0,36,22.890547
247.0,28,22.958366
610.0,61,22.983299
1162.0,122,23.171796
622.0,67,23.196729
250.0,30,23.531833
604.0,102,23.556767
606.0,92,23.578708
620.0,75,24.467333
237.0,36,24.488276
602.0,73,24.919125
603.0,94,25.172448
250.0,30,25.606288
630.0,109,25.733947
1073.0,110,26.260539
633.0,77,26.306417
774.0,159,26.740256
627.0,77,27.027489
1159.0,148,27.085333
1050.0,112,27.085333
624.0,73,27.962988
621.0,87,28.214316
629.0,68,28.230274
1048.0,129,28.554407
638.0,80,28.774818
250.0,30,29.230599
250.0,30,29.420092
621.0,108,29.446023
622.0,68,29.72029
250.0,30,30.11324
1047.0,123,30.661774
248.0,28,30.755523
808.0,175,30.959976
2360.0,285,32.28643
1337.0,192,32.605577
613.0,86,32.806041
