#{"t_start": 1755420652.2617776, "env_id": null}
r,l,t
179.0,142,12.521183
117.0,262,15.791889
294.0,128,15.988363
78.0,291,16.552852
148.0,360,18.510554
211.0,134,19.837865
137.0,190,21.103947
161.0,172,23.18591
390.0,547,23.63072
48.0,48,25.012613
41.0,79,27.067145
167.0,147,27.202781
154.0,380,30.115195
194.0,114,30.345579
30.0,136,30.774449
61.0,24,31.389849
97.0,404,31.975566
34.0,132,34.893951
137.0,112,34.94282
-46.0,1000,35.846122
244.0,1000,35.846122
69.0,1000,35.846122
169.0,65,36.779624
-20.0,76,38.043791
223.0,248,42.200761
-69.0,966,43.433495
107.0,496,44.330114
63.0,144,46.337773
81.0,407,48.692928
165.0,160,48.930292
-22.0,263,50.958234
50.0,794,52.603192
64.0,618,53.719728
203.0,67,54.500682
175.0,278,62.708238
309.0,517,63.717089
163.0,1000,64.970878
137.0,575,65.709184
190.0,123,66.343611
85.0,1000,208.749062
277.0,92,209.878224
528.0,122,211.564609
756.0,810,211.564609
108.0,218,211.745127
181.0,84,212.393406
239.0,56,213.882437
38.0,136,215.334997
375.0,132,215.416785
740.0,235,215.524496
241.0,724,216.387696
290.0,108,216.99607
395.0,875,217.803938
478.0,275,219.095458
173.0,87,219.306911
217.0,113,219.416127
175.0,145,219.443055
351.0,179,220.264856
212.0,75,221.116103
223.0,113,222.464467
-4.0,293,223.44495
343.0,140,224.19246
235.0,267,225.145417
326.0,215,225.387768
210.0,158,226.831924
153.0,106,227.104701
162.0,45,228.355517
198.0,61,228.515089
331.0,203,230.926217
175.0,84,230.97808
382.0,282,231.297633
228.0,404,232.444281
698.0,473,232.695608
228.0,62,232.695608
385.0,322,234.395151
248.0,64,234.419088
461.0,1000,234.600602
77.0,131,234.912766
334.0,245,235.216966
176.0,85,236.662463
138.0,89,237.539096
113.0,123,237.640824
320.0,226,238.569574
229.0,75,238.70119
367.0,74,240.506693
214.0,102,241.363964
91.0,142,241.41383
416.0,459,243.500362
189.0,88,244.165088
202.0,156,245.39779
228.0,125,248.048969
69.0,173,248.828882
294.0,399,249.220249
163.0,45,250.561414
202.0,198,251.117035
236.0,93,253.655823
387.0,119,253.795449
878.0,664,253.795449
191.0,229,254.389858
226.0,73,255.646278
280.0,518,256.52931
219.0,46,256.868909
213.0,121,260.100524
131.0,230,260.369314
728.0,411,260.480525
210.0,130,260.789206
114.0,1000,261.127321
658.0,1000,263.202493
160.0,110,263.677728
201.0,338,264.261203
452.0,375,264.69205
168.0,151,265.265515
330.0,207,402.131355
152.0,96,402.323855
139.0,116,402.473961
226.0,92,402.787137
232.0,57,404.04196
687.0,130,404.209516
