#{"t_start": 1756606934.0365515, "env_id": null}
r,l,t
654.0,69,3.221049
1052.0,108,4.11466
1696.0,171,5.631604
1854.0,195,6.198091
2358.0,277,8.023212
2355.0,292,8.356321
2642.0,327,9.141223
2641.0,330,9.205052
2348.0,335,10.957367
3058.0,390,13.07371
2358.0,275,14.536798
1923.0,195,15.211993
3044.0,461,16.056736
3048.0,442,16.187387
3046.0,454,18.293755
3039.0,489,20.277452
2367.0,246,21.774452
3059.0,387,21.816339
2352.0,322,21.921059
2354.0,304,22.245193
1708.0,172,22.245193
3017.0,596,22.70297
1701.0,173,24.340592
3063.0,367,24.512133
1920.0,199,27.90246
1926.0,191,28.183709
2366.0,256,29.324659
1701.0,173,29.779443
2360.0,291,30.007833
2358.0,297,30.987214
1926.0,200,35.587165
3039.0,487,37.659871
3057.0,395,37.760601
2359.0,285,39.205737
2359.0,280,39.42914
3051.0,427,41.337039
3046.0,454,41.685109
3055.0,406,43.946066
2357.0,281,43.947063
1693.0,179,44.209361
1857.0,190,44.357964
3055.0,408,48.718308
1868.0,183,48.962655
2359.0,289,48.988585
2359.0,279,49.095301
1863.0,186,49.339647
3043.0,465,50.053738
2356.0,290,51.739233
1705.0,170,53.473596
2362.0,268,170.905211
3043.0,469,171.659195
1698.0,175,171.782864
1856.0,219,174.064763
3061.0,375,174.119618
3057.0,397,174.400867
1701.0,172,175.010237
3048.0,441,175.312429
1702.0,173,175.76821
3039.0,487,177.742932
1573.0,158,177.972319
1925.0,190,178.751236
1579.0,156,179.073375
2353.0,321,179.405487
1856.0,191,180.335999
1057.0,111,183.06271
2361.0,264,184.945677
3046.0,450,185.09428
3047.0,448,185.609902
3051.0,428,187.969594
3048.0,444,189.524436
2359.0,281,189.54538
3049.0,436,189.68401
1692.0,175,189.76978
252.0,27,190.116854
1850.0,186,193.764103
3059.0,389,194.118157
2361.0,270,194.222877
2361.0,272,195.970205
2357.0,284,196.146734
2360.0,275,196.382104
3004.0,662,200.181946
2360.0,274,200.459206
1986.0,1000,200.882075
2634.0,298,201.104481
2644.0,315,203.50606
3053.0,418,203.660648
3062.0,374,205.026995
1856.0,197,205.296275
3050.0,431,206.752383
2353.0,309,207.786618
2356.0,288,207.972122
1702.0,173,209.465131
2361.0,270,209.905952
3051.0,427,211.256342
2361.0,263,211.308203
1076.0,109,212.038252
1930.0,191,212.237719
3059.0,388,212.793234
2357.0,280,213.250013
1059.0,108,213.724744
1851.0,205,217.541541
3053.0,418,217.628309
2352.0,314,218.493995
2334.0,425,327.88357
2346.0,346,328.119939
654.0,69,328.268541
252.0,27,328.836025
3061.0,378,328.997594
2352.0,311,328.997594
3053.0,417,330.942394
1058.0,112,331.574703
1692.0,178,332.118251
1922.0,190,332.140192
819.0,122,333.668108
2347.0,354,333.752881
2357.0,283,335.1671
2605.0,458,335.972947
2362.0,267,337.559704
1698.0,173,337.58364
2358.0,284,338.479246
3051.0,430,338.675721
1693.0,175,339.126515
2346.0,342,341.401435
3052.0,424,341.598906
1696.0,184,341.641791
1698.0,175,342.677024
2347.0,331,343.515782
2358.0,283,343.975553
1574.0,158,345.065639
629.0,85,345.890434
1701.0,173,346.596546
3061.0,380,347.1002
3062.0,374,350.255765
3055.0,405,352.786998
3031.0,528,353.836194
3054.0,411,354.558263
635.0,86,354.803607
2339.0,393,354.962183
3055.0,408,356.519022
3048.0,442,356.78132
1699.0,173,358.482772
785.0,116,359.409295
3053.0,419,359.857099
482.0,1000,362.146977
2638.0,332,362.661602
2365.0,264,362.685538
3044.0,464,364.64829
252.0,27,365.243698
3042.0,474,365.847086
2360.0,279,366.021619
2359.0,282,366.556191
3056.0,402,368.013295
2359.0,277,368.779247
2363.0,261,368.928848
1567.0,167,369.999983
2630.0,314,370.086751
2361.0,277,372.07045
1695.0,175,372.38461
2361.0,279,373.442781
1693.0,175,481.579705
3050.0,431,483.361941
1921.0,190,485.072368
3061.0,379,485.251889
3054.0,411,485.858268
3055.0,408,486.989245
3059.0,386,488.52813
1691.0,178,489.267155
3048.0,444,489.562366
2359.0,277,489.80771
252.0,27,489.870543
808.0,177,491.016478
3051.0,430,491.579973
2362.0,276,492.122522
2348.0,335,492.719926
1695.0,174,493.85888
1926.0,190,494.153094
1701.0,173,494.947968
2363.0,269,495.692977
1699.0,172,496.018108
654.0,69,496.541709
1569.0,166,497.948946
3051.0,426,498.228199
2643.0,318,498.755789
2358.0,292,499.32427
2364.0,246,501.317941
2637.0,353,501.883429
1922.0,202,502.634421
1697.0,172,502.861814
1569.0,166,503.291666
3058.0,394,505.813922
1853.0,195,506.081207
1436.0,141,506.67462
3045.0,459,506.795299
3058.0,394,507.531331
2362.0,281,508.826868
2360.0,274,509.332515
1923.0,190,510.612095
1924.0,190,511.360095
1572.0,165,512.610752
3050.0,430,513.019659
3050.0,433,515.959799
3053.0,420,516.495368
2359.0,284,517.113715
3043.0,467,518.361379
3057.0,397,520.415887
1576.0,159,520.742015
3058.0,391,521.928843
3054.0,414,521.995663
2361.0,263,522.375648
2355.0,293,522.510288
1070.0,108,522.765606
1051.0,110,524.449105
1701.0,173,524.568785
2351.0,327,525.81645
1696.0,189,526.887586
1696.0,174,528.546152
