#{"t_start": 1755362617.1018207, "env_id": null}
r,l,t
-44.0,85,74.238495
-54.0,89,74.337006
31.0,129,75.360713
-40.0,83,76.357274
-23.0,255,78.562546
93.0,34,79.421481
531.0,619,87.981627
15.0,121,91.129431
75.0,1000,97.822926
244.0,1000,97.822926
146.0,1000,97.822926
51.0,49,101.122633
-20.0,76,101.818111
74.0,1000,102.148405
0.0,1000,103.178221
-14.0,85,103.313349
51.0,1000,104.195374
-24.0,77,105.173354
149.0,1000,107.288218
75.0,114,110.224226
24.0,1000,123.094359
-26.0,78,126.050411
42.0,1000,139.041427
