#{"t_start": 1754568926.8518133, "env_id": null}
r,l,t
706.0,128,18.075597
1323.0,148,18.490487
1450.0,154,18.627121
1435.0,159,18.734833
1563.0,178,19.147728
1563.0,204,19.719198
1698.0,216,19.982493
1305.0,249,20.73448
1408.0,163,21.647037
1321.0,151,21.819576
1434.0,159,22.687253
582.0,172,23.64868
1437.0,170,23.873079
1840.0,240,24.197212
1411.0,267,24.679919
1563.0,180,24.860437
760.0,173,25.655308
636.0,86,26.109093
1686.0,199,26.400314
1696.0,203,27.448509
1424.0,173,27.763664
1325.0,139,28.012
1347.0,180,28.143647
761.0,114,28.417914
1317.0,147,29.763312
1350.0,154,30.260979
1685.0,253,30.991025
1425.0,189,32.344402
1700.0,202,32.432168
1925.0,215,33.585081
1679.0,248,34.03388
635.0,77,34.15356
1644.0,211,34.681148
1429.0,161,34.681148
1695.0,193,34.726027
730.0,102,35.842041
628.0,88,36.004605
1319.0,167,36.07741
585.0,107,37.116629
815.0,145,37.445748
730.0,141,41.553006
1687.0,206,41.900077
1430.0,169,42.406722
1845.0,250,42.823607
1569.0,171,43.780045
1699.0,238,44.953904
813.0,151,45.245124
774.0,136,45.438606
2341.0,361,46.613461
1917.0,263,47.421299
1675.0,260,48.644025
1430.0,182,49.019022
1572.0,178,49.241427
1576.0,181,49.491757
1673.0,210,52.082821
1329.0,182,52.678227
1832.0,273,52.699171
2722.0,1000,53.237729
1691.0,213,53.841114
1424.0,212,54.020634
1676.0,236,54.807527
1430.0,174,56.592748
1425.0,170,57.049525
652.0,79,58.384951
1693.0,216,58.562477
1694.0,215,59.466058
2343.0,374,60.386594
1563.0,183,61.055802
2624.0,397,61.447753
1432.0,174,62.132919
2342.0,375,62.222679
1692.0,194,62.843018
623.0,75,63.945068
2955.0,910,64.115612
1337.0,157,170.611781
631.0,87,170.834187
1315.0,183,171.607118
626.0,87,171.82653
749.0,128,173.409295
1851.0,232,173.435224
638.0,146,175.023971
1415.0,209,175.421907
621.0,92,175.462796
1304.0,254,175.651293
1308.0,197,175.94351
2606.0,483,176.239717
2612.0,458,176.620697
1319.0,158,176.95181
637.0,78,177.419559
631.0,88,177.930192
727.0,130,177.947146
625.0,90,178.249337
622.0,68,178.44681
599.0,90,179.412225
1421.0,186,179.598725
1695.0,208,180.11634
633.0,77,181.253296
1324.0,174,181.768916
635.0,86,182.001294
1430.0,193,182.182809
1565.0,190,182.44012
1344.0,148,182.665517
1691.0,213,183.147228
630.0,93,184.022884
633.0,86,184.316098
1318.0,171,185.558772
1337.0,155,185.594676
2596.0,483,187.295124
635.0,79,187.314073
1859.0,277,187.401838
1690.0,209,187.768856
1446.0,176,187.938403
1672.0,201,188.796106
1318.0,171,189.401486
722.0,92,189.442376
2338.0,376,191.01716
608.0,97,191.660439
1693.0,230,192.507172
1918.0,213,192.591946
1696.0,207,192.63882
1831.0,259,193.134493
1545.0,211,193.549382
605.0,62,193.858555
1320.0,162,194.667391
619.0,92,195.150099
1427.0,169,195.423366
757.0,144,195.795371
593.0,111,196.316975
612.0,77,196.358862
1429.0,163,197.163709
592.0,94,197.49183
1671.0,225,197.558651
629.0,87,198.236835
717.0,125,198.568946
624.0,86,200.440936
1850.0,247,200.581559
1322.0,151,200.806956
1697.0,215,201.0892
1847.0,208,201.716521
1680.0,219,202.357805
623.0,90,202.432605
2298.0,590,202.498428
734.0,97,202.95321
1694.0,227,203.261387
1320.0,169,204.415298
622.0,89,204.497078
633.0,79,205.110436
1904.0,229,206.323189
1690.0,201,206.344134
1546.0,190,206.744064
1319.0,170,206.874713
610.0,112,207.062212
1676.0,236,207.933879
639.0,79,208.104422
1695.0,191,208.765652
634.0,84,208.787593
631.0,90,209.08779
727.0,109,210.341434
1319.0,162,210.366368
1559.0,201,210.805193
623.0,91,211.077463
637.0,86,212.235364
1432.0,167,212.434831
1562.0,200,212.511625
619.0,85,212.951448
1692.0,209,213.359356
1320.0,160,214.33275
605.0,101,214.430489
1315.0,186,214.430489
2613.0,425,214.527229
613.0,95,214.994978
619.0,96,215.431808
1688.0,200,323.386713
1056.0,121,323.587177
1430.0,149,324.323206
1673.0,252,324.44488
1324.0,171,324.696208
1687.0,212,325.528979
1696.0,215,326.315873
1679.0,225,327.00802
1320.0,165,327.122712
1683.0,188,327.808876
1335.0,162,328.351424
1311.0,208,329.030605
602.0,91,329.052547
602.0,91,329.970091
1689.0,244,330.061846
1917.0,251,331.343415
814.0,147,331.834101
1692.0,214,332.063488
589.0,103,332.338751
804.0,195,333.594389
1335.0,158,333.703099
1555.0,210,333.969386
595.0,93,333.969386
607.0,93,334.213732
638.0,83,334.254622
637.0,78,335.476352
621.0,88,335.963049
632.0,88,337.562767
1431.0,166,337.820078
1564.0,185,337.891886
1327.0,164,338.071405
746.0,117,338.698726
612.0,92,339.858621
593.0,93,339.957357
1306.0,273,340.462006
2573.0,420,340.992587
1063.0,164,341.31273
726.0,92,342.019836
1419.0,176,342.077682
609.0,93,342.120567
2561.0,693,342.265181
1327.0,174,342.64217
594.0,127,343.375208
603.0,98,344.290758
778.0,121,345.358899
1305.0,230,346.158757
1318.0,175,346.203637
1684.0,222,346.290406
1683.0,213,346.896782
807.0,185,347.520113
592.0,94,348.346901
598.0,115,348.919369
788.0,134,349.268433
1694.0,220,349.317303
1691.0,190,349.736182
1819.0,359,350.194953
1338.0,157,350.54402
738.0,148,350.966887
738.0,125,351.24614
1322.0,153,352.883756
1420.0,164,353.197929
1689.0,212,354.041657
1568.0,181,354.112468
603.0,132,354.543314
733.0,91,355.132736
1682.0,206,355.178613
1312.0,198,355.371098
1564.0,187,355.552612
588.0,110,355.856798
616.0,92,357.231119
1322.0,153,357.54827
1705.0,192,358.487756
1566.0,181,358.621397
1038.0,166,359.272654
1320.0,166,359.577838
1311.0,205,359.730429
1678.0,219,360.271979
599.0,100,360.871375
606.0,106,361.619373
1906.0,229,362.336453
1445.0,175,362.378341
603.0,96,363.008654
1322.0,149,363.050541
1425.0,161,363.160247
1573.0,191,364.51961
1894.0,313,364.53457
635.0,77,364.861695
1426.0,159,365.137954
599.0,99,365.229708
1321.0,152,365.747322
606.0,62,365.889941
1323.0,143,366.199113
1686.0,226,367.452758
1563.0,193,368.859991
1430.0,179,368.881932
599.0,90,473.897827
1321.0,152,474.033464
1698.0,199,474.14716
1568.0,179,474.348621
1854.0,244,475.108586
614.0,84,475.235247
602.0,96,476.37719
1423.0,171,478.014807
1427.0,161,478.109553
1687.0,209,478.135484
2347.0,354,478.259153
1699.0,201,478.55935
1318.0,175,479.164729
1685.0,199,479.822968
1347.0,145,481.49549
1318.0,160,482.145749
1568.0,179,482.365162
1674.0,252,482.431983
600.0,92,484.036688
774.0,169,484.272059
631.0,87,484.532361
1903.0,254,485.132755
1847.0,237,485.387074
728.0,110,485.51573
607.0,87,486.350494
1323.0,171,486.844172
2343.0,364,487.266043
590.0,93,487.312917
633.0,79,487.312917
718.0,116,487.375751
1319.0,154,489.810233
1553.0,241,489.996734
1848.0,221,490.398658
1319.0,162,490.987083
1853.0,212,492.106087
1912.0,223,492.450168
1899.0,226,492.450168
1320.0,160,493.621033
1426.0,173,494.783919
738.0,112,495.507981
1846.0,234,496.016621
1569.0,171,497.065812
1564.0,190,497.129642
1435.0,230,499.44245
1424.0,196,499.559137
1421.0,176,500.078747
2340.0,370,500.149557
1562.0,223,500.870627
1316.0,168,500.968365
229.0,42,501.107991
638.0,77,501.381261
2572.0,635,502.123273
619.0,91,503.081709
1571.0,180,503.649189
1343.0,152,503.717007
1427.0,170,505.332683
1313.0,195,505.627893
2338.0,376,505.841321
593.0,93,507.539774
1699.0,195,507.664441
1688.0,199,508.394488
1330.0,205,508.457319
610.0,62,509.094613
608.0,88,510.779104
2616.0,419,510.923717
588.0,104,511.096255
1918.0,227,511.456292
783.0,163,511.608882
2331.0,411,512.019783
635.0,77,512.683007
1440.0,167,513.366179
2346.0,336,513.862849
623.0,82,514.571951
1432.0,154,514.754463
1326.0,161,514.754463
1429.0,150,515.038702
1566.0,190,516.118811
717.0,124,516.235499
617.0,84,516.728181
1852.0,223,517.321591
1321.0,153,518.351834
609.0,93,518.897374
1553.0,237,519.412992
1415.0,208,519.463856
796.0,170,520.198889
606.0,94,521.092498
1670.0,231,521.505392
611.0,105,628.147933
1565.0,205,628.622662
1568.0,173,628.964746
2591.0,364,629.033562
1420.0,169,630.963396
1056.0,117,631.354352
1701.0,197,632.760586
1418.0,160,632.780532
2351.0,314,633.884577
1323.0,145,634.281515
1911.0,241,634.517882
1563.0,174,635.318738
1140.0,134,635.763548
590.0,93,636.041803
734.0,86,636.315071
619.0,96,638.474291
1562.0,195,639.016839
1345.0,150,639.243233
633.0,78,640.980583
1936.0,223,641.062363
1690.0,187,643.163739
1661.0,214,643.229562
2630.0,356,643.370186
1322.0,151,644.331612
1412.0,166,644.758471
2550.0,552,645.248159
2690.0,1000,645.672024
1334.0,142,646.617494
1308.0,167,646.960576
2690.0,1000,647.720541
1559.0,229,648.412688
618.0,66,648.439617
1430.0,153,648.701913
1436.0,221,649.72717
1562.0,186,649.843858
1665.0,246,649.860811
1428.0,191,650.831214
599.0,91,651.906337
1904.0,224,652.756062
1420.0,225,653.504059
1691.0,200,654.277988
1449.0,152,654.325859
1405.0,212,654.668941
1317.0,197,657.150299
1325.0,145,657.51233
1665.0,212,658.144638
1692.0,179,658.175555
2631.0,318,658.946491
2317.0,487,659.241702
1573.0,165,661.130645
1689.0,189,661.310164
1339.0,145,661.354048
1323.0,151,662.327442
1859.0,218,663.012607
1692.0,189,663.451433
1809.0,436,664.258273
1325.0,147,664.602352
1043.0,134,665.293502
1699.0,207,665.706397
635.0,75,666.270885
1851.0,241,666.669818
1344.0,149,666.779524
1689.0,201,667.484636
1660.0,243,669.694721
2942.0,973,670.346975
1841.0,228,670.833672
1563.0,193,670.990252
247.0,31,671.059069
1670.0,268,672.266836
1663.0,214,672.266836
1683.0,251,672.376542
1053.0,136,672.709651
2632.0,335,672.772482
1337.0,147,674.064026
730.0,101,779.928648
725.0,107,780.180973
1703.0,191,780.247794
1414.0,156,780.770394
618.0,67,781.686941
