#{"t_start": 1756642956.5686092, "env_id": null}
r,l,t
1919.0,234,12.038264
1918.0,251,12.591785
1912.0,254,12.688526
2354.0,317,14.694165
2346.0,336,15.385317
2346.0,340,15.509984
2344.0,347,15.746353
2346.0,357,16.090432
2349.0,322,30.590087
1922.0,227,30.998123
1915.0,251,31.169665
1908.0,267,32.483153
1910.0,254,32.614801
2349.0,343,35.285661
2311.0,517,37.993423
1706.0,213,42.36374
2347.0,350,42.847447
2343.0,373,47.285672
2349.0,343,48.21419
2337.0,387,49.522693
2323.0,471,61.681706
1851.0,255,66.959596
1938.0,1000,85.684256
2344.0,346,88.017656
2312.0,507,88.392654
2349.0,325,88.414595
2339.0,377,88.440526
2350.0,324,89.450825
1847.0,252,93.644614
1035.0,174,94.142284
1917.0,235,95.504642
2349.0,322,97.767593
2351.0,311,98.34804
2351.0,316,100.492308
2309.0,525,105.391213
2355.0,311,105.527848
2338.0,380,106.272856
2349.0,321,109.144181
2318.0,482,109.850292
2349.0,337,110.106609
1986.0,1000,121.369556
1919.0,231,304.66673
2345.0,344,305.310011
2348.0,334,305.691989
1703.0,217,307.686657
618.0,106,307.778412
2343.0,357,308.456599
1920.0,223,309.97155
2324.0,452,310.497144
2299.0,574,310.834243
1850.0,251,313.624783
811.0,163,313.820261
2342.0,360,314.182293
2232.0,910,314.601173
1712.0,201,315.571579
2352.0,328,316.191921
2340.0,366,316.399366
2348.0,330,318.2943
1919.0,222,319.869091
2349.0,328,321.575529
2343.0,357,322.058239
2356.0,309,323.730768
2344.0,346,323.754703
2343.0,354,324.581493
1447.0,180,333.138343
2348.0,326,333.311879
1709.0,202,335.839123
2335.0,398,336.621033
2344.0,353,337.840773
2348.0,330,339.022613
2347.0,337,340.006982
2349.0,329,341.045206
2340.0,373,342.289879
2345.0,345,344.947774
1938.0,1000,345.354686
2345.0,345,346.539859
2348.0,326,347.2729
1914.0,240,351.259243
2342.0,356,351.394881
1705.0,203,351.517552
2288.0,630,351.567419
2331.0,434,352.021206
2345.0,348,354.226312
2332.0,406,357.135535
1917.0,242,357.551423
2357.0,316,359.323685
2350.0,334,359.489242
1563.0,230,481.973833
2351.0,325,482.052622
1986.0,1000,487.681592
2355.0,315,488.102468
2351.0,332,488.254061
2355.0,315,489.986432
2355.0,313,490.131044
2282.0,665,490.796266
2345.0,347,491.598123
1914.0,240,494.148306
2317.0,480,495.47429
2352.0,315,497.107925
1565.0,217,497.916761
2344.0,352,498.002532
2350.0,321,499.100597
2344.0,350,499.974261
2354.0,310,502.804695
2356.0,309,504.013011
1920.0,239,504.307225
1913.0,253,505.67457
1908.0,265,506.78161
2338.0,381,507.037925
1913.0,240,508.76431
2355.0,319,512.016846
2355.0,319,513.390887
2354.0,316,514.64643
2353.0,324,516.665033
1986.0,1000,516.749806
2348.0,334,520.264412
1986.0,1000,522.95126
2337.0,389,522.989159
2344.0,348,523.28038
2250.0,831,524.278711
2348.0,331,524.949717
2346.0,338,529.119591
2349.0,324,531.441383
2353.0,321,531.778482
1986.0,1000,531.897165
2339.0,380,534.849273
