#{"t_start": 1754393428.9098995, "env_id": null}
r,l,t
1852.0,196,10.52673
2359.0,269,12.426993
2357.0,275,12.582577
1579.0,151,14.439147
3045.0,382,15.339498
3043.0,394,15.650178
2998.0,617,21.422713
3048.0,368,21.938097
2364.0,257,22.288668
3041.0,402,25.648749
2367.0,252,28.362537
2354.0,288,28.771444
2930.0,929,29.384393
2578.0,640,30.867568
2177.0,1000,31.189215
3043.0,392,32.406958
2357.0,274,32.806113
2356.0,279,36.088786
3048.0,368,38.025132
2193.0,1000,38.489889
3047.0,373,40.698517
3025.0,482,42.011513
3041.0,401,43.244739
2330.0,427,43.519006
3016.0,528,45.025484
3038.0,416,46.869076
2358.0,283,47.972471
3037.0,424,49.428525
2359.0,264,51.876175
3049.0,365,52.992711
3037.0,424,54.246803
2362.0,256,54.636777
1704.0,159,55.960382
3048.0,368,56.393215
3038.0,419,185.952668
2356.0,280,187.11787
2963.0,791,188.104004
2358.0,267,188.512911
2363.0,259,188.743294
3050.0,357,189.513743
2178.0,1000,189.541668
2357.0,273,195.526198
3047.0,374,195.552128
3042.0,400,197.339924
3043.0,392,198.76114
3030.0,459,199.841254
3039.0,411,200.004324
2363.0,264,202.26134
2355.0,285,202.85974
2188.0,1000,204.372048
3045.0,382,208.871736
3039.0,412,210.831994
3039.0,411,213.820541
3051.0,355,213.872402
209.0,1000,215.599309
3046.0,377,218.710059
3050.0,358,223.054881
3048.0,369,223.374029
2914.0,1000,223.474759
3041.0,405,225.993224
2198.0,1000,226.129125
2184.0,1000,228.37365
3044.0,389,228.684818
2358.0,267,229.849214
2358.0,266,230.263616
3047.0,371,235.532756
3045.0,381,235.904963
2194.0,1000,236.539287
2638.0,324,237.009031
3031.0,452,364.832903
3037.0,425,366.065631
3031.0,453,366.385775
2356.0,279,367.61759
2355.0,282,368.701656
3044.0,386,370.702321
2187.0,1000,373.918108
3043.0,393,374.955816
1950.0,189,375.527288
3042.0,400,376.316191
2645.0,305,376.470288
3043.0,395,377.65765
3033.0,442,377.680588
2974.0,738,380.8467
2361.0,271,381.92485
2353.0,298,384.048698
3043.0,394,384.073631
3030.0,459,388.3956
2351.0,305,388.832499
3025.0,484,390.32733
3038.0,388,394.140175
1923.0,203,395.508492
2361.0,265,395.604743
2352.0,296,396.019634
2975.0,731,400.844143
2190.0,1000,401.358768
2182.0,1000,403.527227
3038.0,417,406.283071
3041.0,401,406.284068
3022.0,500,406.893945
3020.0,506,408.457628
2355.0,281,408.535929
203.0,1000,409.791636
3044.0,388,410.735636
2351.0,301,411.209387
3043.0,391,540.745869
3040.0,408,541.185828
3050.0,359,542.159984
2355.0,285,542.471153
2358.0,293,543.131895
3044.0,387,544.165166
2365.0,264,547.983292
2366.0,252,548.671452
3051.0,353,549.810929
2353.0,293,550.019878
3042.0,399,553.426945
3043.0,391,554.223323
2358.0,267,556.705538
2162.0,1000,557.053607
3045.0,382,557.828535
3049.0,361,557.979131
2178.0,1000,558.618913
3047.0,375,559.68557
3043.0,392,563.585702
2353.0,291,564.583035
3040.0,409,564.803952
2358.0,275,566.815298
3045.0,382,568.543223
3036.0,428,568.933702
3051.0,352,572.700901
2998.0,619,572.748773
2351.0,305,574.809093
2365.0,250,575.156165
1048.0,108,577.97855
2368.0,250,579.459112
2990.0,657,582.133084
489.0,666,582.133084
2193.0,1000,584.154952
3044.0,389,588.056058
3045.0,382,589.246382
3004.0,586,590.017826
3029.0,462,716.416626
2174.0,1000,717.429917
2365.0,245,718.058969
2358.0,282,719.779928
1440.0,136,720.843099
2474.0,1000,721.095307
3030.0,459,722.228327
3048.0,367,725.742277
2358.0,279,726.884817
2364.0,254,727.348577
3045.0,384,727.815236
2358.0,267,727.91844
2178.0,1000,730.130275
3052.0,347,731.109656
2189.0,1000,732.11199
2350.0,307,735.146168
819.0,122,735.218973
3044.0,389,737.767658
3024.0,487,739.202342
2365.0,247,741.437951
3004.0,586,744.954108
2364.0,269,746.039335
3046.0,377,747.319422
3009.0,563,749.353026
2968.0,766,750.504454
1440.0,136,750.771249
2185.0,1000,751.097903
2364.0,262,751.578128
2182.0,1000,753.14495
1578.0,150,753.172876
2644.0,315,754.016814
3010.0,556,755.574991
2368.0,246,756.752857
2355.0,283,758.271323
2363.0,253,760.4365
3051.0,355,760.593081
1708.0,166,762.538632
3028.0,467,765.050789
3023.0,493,765.755448
1578.0,150,892.073638
3029.0,461,895.537461
3015.0,534,897.211126
2187.0,1000,899.302116
3039.0,415,899.374922
2914.0,1000,904.045556
2914.0,1000,905.207954
3046.0,380,909.015432
2922.0,998,911.029078
2162.0,1000,917.321509
2914.0,1000,920.772675
3024.0,488,921.356115
2914.0,1000,922.472147
1048.0,108,924.08284
2180.0,1000,924.619405
214.0,1000,929.303956
2357.0,274,929.325897
2914.0,1000,930.474496
2948.0,868,932.781647
2356.0,279,937.535811
3044.0,387,939.083856
3039.0,410,939.695235
658.0,1000,1063.933854
2356.0,276,1065.999878
819.0,122,1067.074791
2914.0,1000,1067.438818
2355.0,299,1068.080534
2931.0,952,1069.496763
2914.0,1000,1071.221725
1574.0,157,1071.351129
2346.0,333,1074.347488
2958.0,816,1074.893541
1701.0,163,1075.375758
2357.0,274,1078.26295
3024.0,458,1078.564145
3031.0,452,1079.459287
2961.0,800,1081.300183
1440.0,137,1081.741003
2355.0,282,1082.466574
3041.0,402,1085.048524
2364.0,254,1087.797711
3012.0,546,1088.20562
2350.0,307,1089.570491
3050.0,357,1091.555689
2914.0,1000,1094.79297
2354.0,288,1095.052277
2355.0,283,1096.675955
3049.0,361,1097.262894
3011.0,555,1099.043189
2365.0,251,1101.345612
1929.0,192,1101.486742
2357.0,272,1101.608922
2177.0,1000,1103.845484
2357.0,289,1104.530164
2914.0,1000,1104.712675
2643.0,319,1107.170325
2355.0,283,1108.705575
2970.0,758,1110.689792
2355.0,284,1111.088235
2359.0,265,1111.306651
2356.0,276,1111.763691
813.0,153,1236.394422
1868.0,190,1236.946753
3041.0,402,1238.801003
3040.0,406,1243.496199
2358.0,283,1243.570999
3035.0,435,1243.766476
2359.0,303,1244.619213
2177.0,1000,1248.121388
2914.0,1000,1248.396653
2353.0,294,1251.129999
3006.0,577,1253.350398
2932.0,945,1254.040156
3041.0,402,1254.739792
2354.0,285,1255.568608
2348.0,319,1256.153046
2365.0,246,1259.538735
2352.0,299,1262.320117
2631.0,329,1263.924361
3029.0,462,1265.709631
2996.0,626,1267.022891
2347.0,323,1267.786863
2162.0,1000,1268.809636
819.0,122,1268.859503
2171.0,1000,1268.885433
2358.0,282,1274.185043
2351.0,304,1275.475126
3037.0,423,1279.49621
2167.0,1000,1281.474755
2627.0,306,1281.879971
2348.0,317,1283.467758
2992.0,647,1285.206123
2351.0,300,1287.043782
2189.0,1000,1287.636511
2649.0,267,1410.139923
215.0,1000,1410.755277
2352.0,298,1412.612817
2914.0,1000,1415.762784
2341.0,360,1415.967236
2635.0,342,1419.509056
3036.0,430,1419.557925
3038.0,420,1420.892548
2990.0,660,1425.995937
2183.0,1000,1428.413634
2637.0,314,1428.848471
3046.0,375,1429.001063
3010.0,555,1429.763631
1704.0,159,1429.981066
3037.0,423,1430.259323
1695.0,169,1433.174082
2954.0,837,1433.849784
1700.0,162,1434.133025
3041.0,403,1439.271289
2204.0,1000,1441.324418
3010.0,559,1443.971685
3002.0,597,1445.406861
2366.0,249,1450.338929
3031.0,450,1450.687006
2939.0,911,1451.581807
3033.0,444,1452.572665
3042.0,396,1455.407621
2914.0,1000,1458.490101
2162.0,1000,1459.181252
2914.0,1000,1459.456208
2353.0,293,1459.97683
2957.0,823,1593.110223
3021.0,502,1593.792924
2974.0,740,1595.784228
2914.0,1000,1597.224614
2169.0,1000,1598.467345
2340.0,356,1602.078512
3025.0,455,1605.213731
2174.0,1000,1605.335406
2169.0,1000,1606.018232
2182.0,1000,1606.788192
3022.0,499,1610.975341
2361.0,269,1612.11982
2371.0,259,1613.34904
2695.0,503,1614.731868
2646.0,291,1618.29917
2365.0,259,1619.82362
2178.0,1000,1620.931183
2196.0,1000,1622.317955
3021.0,503,1627.430819
2731.0,325,1628.077105
2162.0,1000,1630.402782
2914.0,1000,1631.212125
3049.0,363,1759.215202
2162.0,1000,1760.03056
3043.0,391,1760.613004
3040.0,409,1763.432743
3036.0,425,1764.657482
2162.0,1000,1766.241963
2162.0,1000,1768.883339
2176.0,1000,1770.322996
3045.0,384,1773.187895
1693.0,169,1777.502679
2199.0,1000,1784.707594
2162.0,1000,1785.496177
2162.0,1000,1786.080122
2166.0,1000,1790.094263
2168.0,1000,1791.692512
2162.0,1000,1794.337977
2162.0,1000,1795.732272
3034.0,439,1795.762192
2369.0,237,1797.702379
2637.0,342,1798.757152
2167.0,1000,1802.867575
2351.0,301,1803.369755
2194.0,1000,1932.35939
2195.0,1000,1932.937615
2204.0,1000,1941.185017
2168.0,1000,1942.619207
2268.0,716,1943.054044
2166.0,1000,1944.540412
2162.0,1000,1945.597326
1708.0,157,1946.995593
3004.0,589,1947.807931
2754.0,1000,1949.774183
1950.0,177,1954.344056
2942.0,895,1955.082436
3008.0,570,1959.100997
1930.0,177,1963.585075
2188.0,1000,1966.567132
1708.0,157,1967.478695
2162.0,1000,1967.997987
1440.0,136,1970.934183
2162.0,1000,1970.987042
2914.0,1000,1972.408763
2914.0,1000,1973.230598
2188.0,1000,1979.696715
2162.0,1000,1980.452693
2991.0,654,2110.782397
2914.0,1000,2115.116699
2146.0,1000,2116.54988
2146.0,1000,2119.530594
2162.0,1000,2120.991158
2146.0,1000,2121.789531
1693.0,169,2125.267786
2146.0,1000,2128.180538
2146.0,1000,2128.962954
2146.0,1000,2136.029784
2146.0,1000,2140.428036
2146.0,1000,2141.902929
2146.0,1000,2144.880062
2146.0,1000,2147.092147
2146.0,1000,2150.572517
2130.0,1000,2153.49338
2146.0,1000,2154.239905
2359.0,277,2283.713725
2480.0,1000,2283.830412
2977.0,721,2285.534174
2914.0,1000,2288.219065
2914.0,1000,2289.679694
1578.0,150,2293.464726
2914.0,1000,2294.805187
2914.0,1000,2298.234048
2914.0,1000,2301.121376
2963.0,792,2305.474319
2914.0,1000,2308.81004
2162.0,1000,2308.945187
2365.0,262,2312.06218
2914.0,1000,2313.367793
2914.0,1000,2318.599849
2914.0,1000,2319.98106
2914.0,1000,2323.485686
1692.0,166,2324.187178
2923.0,991,2326.144147
2914.0,1000,2456.291467
2914.0,1000,2456.41414
2166.0,1000,2459.53045
2162.0,1000,2460.828992
1846.0,189,2461.227926
2989.0,665,2463.146982
3002.0,598,2463.419255
1700.0,161,2464.887347
2914.0,1000,2466.071702
2359.0,276,2470.630852
2354.0,290,2470.701663
2914.0,1000,2471.123044
3048.0,366,2474.336198
3006.0,578,2475.974847
2965.0,785,2479.531873
2179.0,1000,2481.697619
2352.0,296,2483.440764
2356.0,276,2486.499935
2983.0,691,2488.000889
2173.0,1000,2491.527849
3042.0,399,2493.560463
2914.0,1000,2495.905991
2166.0,1000,2496.333509
2165.0,1000,2499.542481
1947.0,189,2501.07356
2354.0,288,2503.170841
3004.0,587,2628.778095
3019.0,512,2628.925701
2165.0,1000,2629.446308
2956.0,828,2629.874165
3048.0,370,2631.349239
3043.0,393,2633.470122
3050.0,356,2634.619557
1950.0,190,2634.669423
2368.0,249,2635.037946
2166.0,1000,2635.733088
2353.0,293,2636.337485
2362.0,261,2637.971581
1440.0,136,2638.499691
2361.0,274,2640.473414
2363.0,262,2641.362667
2357.0,279,2641.743648
3050.0,356,2645.40992
3035.0,431,2646.728981
3050.0,357,2647.633379
3045.0,383,2651.138103
1929.0,192,2651.627794
3044.0,389,2651.65173
2164.0,1000,2654.843368
3046.0,377,2654.977011
3048.0,369,2656.985648
1713.0,164,2658.985332
3048.0,366,2660.871289
3047.0,371,2661.014413
2172.0,1000,2663.354951
3052.0,347,2663.742914
2361.0,269,2663.764366
2174.0,1000,2665.833323
1929.0,192,2668.643612
3051.0,354,2669.961122
3049.0,361,2669.983063
2356.0,278,2670.773474
3051.0,353,2672.317453
1929.0,192,2674.840076
2643.0,290,2675.987026
2162.0,1000,2676.429352
3054.0,338,2679.408943
3042.0,397,2680.167933
1950.0,190,2803.123302
3036.0,427,2805.504359
2162.0,1000,2806.709561
2358.0,270,2813.505849
2914.0,1000,2813.505849
2162.0,1000,2822.465091
3042.0,400,2823.57762
2173.0,1000,2824.017444
2173.0,1000,2826.952013
2198.0,1000,2827.700012
2914.0,1000,2828.429571
2162.0,1000,2830.707475
1580.0,151,2830.756344
3054.0,338,2832.087816
3040.0,407,2832.748556
3040.0,406,2834.276516
1051.0,105,2836.912937
2170.0,1000,2838.717472
3042.0,398,2840.783971
3040.0,408,2847.117941
2970.0,756,2849.681901
3046.0,376,2850.184083
1948.0,189,2851.864125
3011.0,554,2852.574226
2914.0,1000,2852.770211
2175.0,1000,2853.542653
2166.0,1000,2981.958937
