#{"t_start": 1756647704.4900987, "env_id": null}
r,l,t
240.0,49,4.17626
234.0,49,4.177258
244.0,49,4.177258
231.0,51,4.225299
237.0,64,4.537971
230.0,67,4.604793
234.0,47,5.375745
236.0,44,5.671953
239.0,58,5.695889
237.0,60,6.224477
229.0,81,6.398013
237.0,48,6.779991
240.0,39,7.453636
233.0,50,7.659101
231.0,46,7.956306
245.0,38,8.549231
235.0,53,8.7118
250.0,33,9.322678
811.0,162,9.902434
243.0,53,10.012304
245.0,42,10.36738
233.0,44,11.074225
229.0,51,11.138054
237.0,46,11.483247
238.0,43,12.156987
354.0,1000,28.079041
354.0,1000,28.079041
248.0,32,29.452225
240.0,49,29.905015
354.0,1000,29.905015
243.0,45,31.007754
228.0,69,31.169984
238.0,54,31.223079
354.0,1000,31.348281
247.0,44,32.242845
619.0,90,33.181408
354.0,1000,33.331008
231.0,49,34.353734
354.0,1000,36.578205
354.0,1000,36.914124
354.0,1000,37.708072
249.0,35,37.916372
354.0,1000,180.022466
357.0,1000,180.139152
244.0,38,180.980267
247.0,35,181.029136
354.0,1000,181.079002
357.0,1000,182.192774
232.0,51,182.245633
237.0,39,183.146734
354.0,1000,183.193608
243.0,36,184.006382
354.0,1000,185.30921
354.0,1000,186.241494
354.0,1000,186.466429
232.0,42,187.568092
613.0,65,189.098791
194.0,1000,205.67162
354.0,1000,205.721487
231.0,43,206.711508
194.0,1000,206.755445
247.0,34,207.519683
354.0,1000,207.775998
245.0,32,208.260702
194.0,1000,208.556911
247.0,42,208.758372
233.0,44,209.313887
194.0,1000,209.915448
354.0,1000,210.991273
239.0,45,211.106991
237.0,40,211.958686
801.0,214,212.009551
194.0,1000,213.765819
244.0,38,214.840785
357.0,1000,351.799963
446.0,875,351.972502
231.0,66,353.505473
237.0,47,354.588089
354.0,1000,354.675472
357.0,1000,355.48917
238.0,61,356.122587
244.0,47,356.609426
238.0,34,356.907309
354.0,1000,357.111465
354.0,1000,357.916989
354.0,1000,357.956648
354.0,1000,360.535573
232.0,51,361.866585
354.0,1000,375.674004
233.0,37,376.554316
354.0,1000,378.611604
354.0,1000,380.543749
354.0,1000,380.84697
354.0,1000,381.051118
354.0,1000,381.864415
354.0,1000,381.914284
247.0,48,382.179572
244.0,57,383.281253
230.0,43,384.286539
354.0,1000,385.870741
244.0,41,386.875153
235.0,42,387.864547
225.0,61,389.286359
