#{"t_start": 1755018479.6704838, "env_id": null}
r,l,t
2365.0,258,7.314499
3069.0,337,9.109696
3068.0,342,9.233365
3068.0,343,9.259296
3063.0,365,9.78489
3061.0,377,10.032228
3059.0,386,10.231695
3033.0,515,13.261589
3061.0,377,15.990288
3067.0,346,17.205039
3066.0,354,17.368601
3063.0,366,17.525182
3069.0,340,17.570062
3066.0,351,18.084686
3067.0,347,18.187411
3060.0,385,21.95234
2355.0,296,22.648476
2643.0,307,24.322996
3067.0,348,25.100916
3068.0,343,25.325315
3067.0,350,25.563678
3067.0,346,26.004498
1569.0,158,26.334615
3065.0,360,26.421382
3066.0,353,30.1903
2363.0,252,31.049002
3066.0,353,32.552979
3066.0,353,33.512413
3065.0,356,33.782689
3068.0,340,33.852502
3067.0,349,34.482816
3063.0,370,34.859807
3068.0,344,38.071216
3067.0,346,39.051594
2362.0,263,39.968141
3070.0,334,40.31322
2648.0,295,40.395
3067.0,347,42.124373
3070.0,333,42.455487
3063.0,368,43.794905
1697.0,176,44.833126
3063.0,366,47.601719
3062.0,375,48.65191
3061.0,380,166.392241
3059.0,389,167.052474
3066.0,354,167.783518
3069.0,339,168.903521
3054.0,414,169.409169
3067.0,350,170.024523
3065.0,360,172.395181
3064.0,363,173.476288
3067.0,346,174.066709
2360.0,268,174.818696
3065.0,357,174.964309
3067.0,346,175.432057
3065.0,359,177.387825
3068.0,345,177.672063
1727.0,175,178.939672
3065.0,356,180.353889
3068.0,342,181.180677
3068.0,344,181.811988
3065.0,356,182.855197
3068.0,345,183.196285
2639.0,278,185.106176
3066.0,352,185.266746
3065.0,356,185.655706
2363.0,260,186.161353
1925.0,193,187.150706
3065.0,356,189.120437
1572.0,158,189.205209
3067.0,346,189.55627
3067.0,349,191.018359
2363.0,260,192.024667
3065.0,356,193.127715
3066.0,354,193.231438
3064.0,365,195.273975
3067.0,347,196.880676
3067.0,349,197.000356
3060.0,385,198.109388
3065.0,357,198.91623
2646.0,303,199.816821
3063.0,366,200.108041
1713.0,178,200.786228
2362.0,261,201.061491
3061.0,380,201.612018
3063.0,370,205.276216
3063.0,368,206.346353
2645.0,282,206.429132
2362.0,263,207.572074
3066.0,355,207.804451
3057.0,397,207.849331
3064.0,363,208.987288
3066.0,353,209.047127
3068.0,343,316.22839
3062.0,373,318.074452
3064.0,364,319.306156
3046.0,453,319.803825
3056.0,403,319.881617
3059.0,386,320.909866
3059.0,389,320.909866
3024.0,560,323.598673
3067.0,348,324.002592
3070.0,331,325.509562
3063.0,366,327.430421
3067.0,346,327.49824
3067.0,345,327.577031
3064.0,365,329.128879
3054.0,413,330.240903
3069.0,339,331.229259
3058.0,394,332.856905
3067.0,346,333.247859
3070.0,334,335.051035
3061.0,376,335.863861
2362.0,258,335.954618
3055.0,406,336.591912
3064.0,363,337.216242
3066.0,350,339.017424
3068.0,345,340.590216
3066.0,351,341.140743
2642.0,330,342.497114
1725.0,175,342.980821
3063.0,366,344.088856
3068.0,345,344.350157
3067.0,350,345.061254
3053.0,418,345.299619
3061.0,377,349.537282
3052.0,421,349.991066
3066.0,352,350.348113
3067.0,350,350.765994
3066.0,351,351.964786
3068.0,345,352.108402
3068.0,341,352.979072
3063.0,367,353.306198
1948.0,198,356.434828
3069.0,337,357.771252
3065.0,360,357.853034
738.0,248,357.877967
3069.0,338,358.664862
3062.0,373,359.040855
3068.0,342,361.337712
3064.0,362,361.447417
3070.0,334,468.180879
3063.0,365,468.868041
3061.0,380,469.084461
3067.0,347,469.15627
3048.0,443,469.311853
3061.0,377,470.142631
3063.0,366,472.076457
3055.0,407,473.126647
3067.0,350,475.889256
3068.0,344,476.720034
3067.0,350,476.942439
3067.0,347,477.025218
3053.0,416,478.06344
3064.0,364,478.233984
3065.0,356,480.035166
3064.0,364,481.269863
3059.0,390,484.662786
3064.0,361,484.849287
3064.0,363,485.114577
3060.0,384,485.651141
3067.0,348,486.072015
3064.0,360,486.164768
2647.0,296,486.75419
3065.0,357,489.335285
1569.0,158,489.652437
3063.0,367,492.941637
3064.0,362,493.258789
3066.0,355,493.649743
3055.0,410,494.058649
3059.0,387,494.866489
3060.0,385,495.424994
3065.0,360,497.442596
3065.0,357,497.665999
3067.0,349,500.814575
2366.0,257,501.278335
3069.0,339,501.350142
3063.0,370,502.421277
3053.0,419,502.692552
2366.0,257,503.25006
3060.0,383,503.524326
1570.0,158,504.818863
1570.0,158,505.941859
3062.0,374,506.106418
3070.0,335,508.326479
3061.0,380,509.729725
3070.0,334,613.051313
3063.0,369,614.104496
2639.0,277,614.440597
3066.0,352,615.007081
3068.0,343,616.002419
3032.0,523,616.63373
3053.0,415,619.904979
3066.0,354,619.991746
3066.0,355,620.950182
3064.0,361,622.4761
3060.0,385,622.642654
3066.0,353,622.883011
3064.0,364,624.217441
3063.0,367,624.900614
3064.0,364,627.976385
3063.0,366,628.099056
2366.0,253,628.546859
3058.0,392,629.707753
3062.0,375,631.044178
3046.0,455,632.654869
3054.0,413,633.431791
3056.0,402,633.896548
3061.0,378,636.94938
3054.0,413,637.165801
3062.0,374,638.009544
3021.0,579,641.669751
3068.0,343,641.691693
3043.0,466,642.075666
3068.0,342,642.113564
3055.0,410,642.419745
3061.0,377,646.451958
3056.0,405,646.850891
3059.0,388,647.546031
3069.0,335,649.756118
3064.0,362,649.92766
3062.0,371,650.140091
3065.0,360,650.651722
3045.0,458,652.545656
2644.0,283,652.81693
3065.0,359,654.914319
3067.0,350,655.451881
2364.0,257,656.497085
1692.0,181,656.622749
3060.0,385,658.461829
3061.0,380,658.712159
3057.0,396,658.851786
1569.0,159,762.361869
3065.0,356,763.118845
2361.0,262,763.118845
3059.0,389,766.419016
3053.0,418,768.280037
2644.0,283,768.624117
3069.0,338,768.689941
2363.0,260,768.856495
3061.0,378,769.165668
1726.0,175,770.259741
3064.0,362,771.054615
2356.0,285,774.992081
2630.0,286,775.192544
2621.0,346,775.892672
3063.0,370,776.825177
3063.0,368,777.308882
3067.0,347,777.998039
3054.0,411,780.302872
2355.0,303,781.991356
2363.0,260,783.423524
482.0,1000,783.546196
3058.0,394,784.276243
3068.0,344,784.782887
3053.0,416,785.456087
3066.0,353,786.145243
3061.0,378,788.976668
3064.0,361,790.092683
3067.0,349,791.332366
3065.0,359,791.418137
3070.0,334,791.696392
2365.0,252,791.741272
3066.0,354,792.65782
3068.0,343,793.08767
2638.0,278,796.311047
1727.0,175,796.616231
3066.0,353,796.875537
2357.0,284,798.093279
3065.0,356,799.387816
2644.0,295,799.713944
3060.0,384,799.951308
3056.0,401,800.706289
2366.0,252,802.490516
1579.0,153,803.134792
1579.0,153,803.365175
3060.0,385,804.963899
3054.0,414,805.887428
3064.0,362,806.257438
3065.0,358,909.303763
2351.0,324,909.826364
2360.0,266,910.365921
3066.0,352,912.913107
3068.0,345,912.977933
3064.0,361,914.892811
2366.0,253,914.95664
3071.0,330,915.49121
3067.0,349,915.559029
3066.0,353,917.758145
3069.0,336,917.898769
2365.0,258,918.720571
3063.0,370,921.125138
2360.0,266,921.457249
3065.0,356,922.940282
3069.0,337,923.039017
3063.0,366,923.0829
2645.0,305,924.68661
3068.0,344,926.43194
745.0,490,928.731787
2363.0,252,930.309567
2335.0,402,930.477119
3069.0,338,930.586826
3063.0,368,931.092472
3056.0,403,931.939207
3065.0,360,934.425556
1697.0,176,935.014978
2364.0,261,936.086114
3059.0,390,937.294879
3069.0,338,938.137625
2362.0,261,940.235014
3048.0,442,940.307819
3061.0,376,940.376635
1579.0,153,940.75961
2362.0,262,941.936461
3069.0,337,942.535859
482.0,1000,943.480332
3069.0,340,947.823712
3066.0,352,948.152831
3066.0,351,948.198709
246.0,28,948.83401
3059.0,387,949.419443
3068.0,343,949.614921
3061.0,378,950.9683
3066.0,351,951.272486
2364.0,259,1057.801494
3069.0,337,1058.186463
3068.0,343,1058.888585
3070.0,330,1059.197757
3044.0,463,1060.637906
3068.0,341,1061.047809
3066.0,353,1061.624267
2706.0,1000,1062.880905
3066.0,353,1065.715323
3061.0,376,1066.568041
3060.0,381,1067.412781
3061.0,380,1067.700013
3065.0,358,1068.607585
3068.0,344,1068.711307
3069.0,336,1070.388819
2361.0,262,1071.56268
2363.0,260,1072.396449
3066.0,351,1075.268764
3067.0,346,1075.444294
2363.0,260,1076.214236
3066.0,353,1076.64209
3044.0,463,1078.949917
3068.0,343,1079.220193
3056.0,402,1081.395375
2362.0,262,1082.496428
2130.0,1000,1083.964501
3067.0,348,1083.98744
3056.0,403,1084.250735
3056.0,405,1084.493087
3068.0,341,1086.601447
3068.0,343,1086.926577
2362.0,263,1087.30656
2362.0,260,1089.826818
2363.0,260,1089.848759
2366.0,253,1089.959463
3069.0,340,1090.117042
3064.0,361,1092.617352
3058.0,394,1095.426836
3057.0,397,1096.163865
3049.0,435,1096.650563
