#{"t_start": 1754048206.4925005, "env_id": null}
r,l,t
589.40015,87,10.898788
1860.9967,203,13.957053
1743.3962,229,14.627767
1627.5973,176,15.533384
2525.4045,292,16.310817
2877.3167,407,19.394119
2875.016,410,19.476898
2861.813,433,20.080678
1766.7969,208,21.07852
2253.6025,271,21.15183
1841.9967,203,21.716827
2801.2244,535,22.816901
1617.5974,199,24.744704
1624.7972,176,24.744704
1627.1974,172,25.697002
1775.1969,195,26.226586
2828.623,489,27.607909
577.8001,73,28.144983
563.5954,376,29.271002
561.0005,125,30.819174
1737.3964,217,33.774697
1653.1975,175,33.828554
2859.7185,436,36.384071
2802.0151,533,36.981039
2820.6245,501,38.08601
190.00015,45,38.161315
2730.3372,652,39.034994
2810.8225,518,39.472332
1595.7972,221,39.807034
1761.1967,210,41.829965
1858.5969,194,43.203887
1616.1969,217,43.731985
1473.1976,250,46.315181
2754.2346,612,47.00334
235.40007,32,47.105067
2820.5188,502,47.133991
1631.1976,175,48.241045
1778.7957,256,48.466444
191.00015,45,49.394756
1735.5957,254,49.761284
210.20012,40,50.788047
2814.1267,513,52.303012
2823.025,498,52.350883
582.00006,65,54.031608
2472.214,385,57.151
2864.6177,429,58.222656
2453.81,338,58.254571
1632.7972,173,58.670966
180.60017,49,59.632428
2829.0232,488,60.001441
2832.9211,481,61.245115
2888.2139,390,196.769393
1642.3976,167,196.795324
1652.5974,169,197.2815
2831.7234,484,197.701885
1638.1973,195,198.840872
1376.5981,144,199.017401
1617.1973,185,201.725809
1762.5963,221,203.19089
1634.3977,194,204.055256
1628.7972,173,206.401018
2883.4148,387,207.208433
2747.6377,624,208.09908
2787.1226,558,209.091579
1757.7963,218,209.175355
2840.2131,470,210.508384
2817.1257,508,213.007118
1632.3975,174,213.908707
1494.7969,213,213.980514
1650.5975,169,215.040681
2901.1116,368,216.414547
1629.7972,176,219.603068
2883.3137,397,219.728733
1642.3976,167,220.7521
2814.8252,511,220.848847
2229.303,310,220.992463
2720.7136,669,221.994636
1618.797,201,224.892187
1648.9974,170,225.32503
1641.1971,182,225.78271
2831.9233,483,226.454929
2831.114,485,226.582587
2915.31,345,228.72752
2221.208,325,229.211242
1642.3976,167,229.617682
2221.607,331,230.594071
2262.9001,258,232.438171
1377.5981,144,232.438171
2214.5095,334,235.099152
2870.716,409,235.464462
1636.3973,177,237.03931
1536.7974,316,237.400344
2823.9238,496,239.425146
2888.812,388,240.641909
2858.42,439,240.958063
1643.9976,165,241.266239
1650.5975,169,241.739973
2861.9143,433,243.825431
409.20206,360,246.726665
2888.215,390,248.067229
2230.1077,315,252.221133
1650.5975,169,254.393324
582.2,62,254.426236
1623.3973,177,255.262001
2905.012,360,255.552225
1543.1973,317,255.552225
2882.1099,400,389.641954
566.40045,124,391.176837
1641.9976,165,391.433169
2889.8135,386,391.665337
2098.0266,533,392.807986
2491.807,313,395.988584
726.3983,139,396.507121
533.20087,192,396.744488
2874.8164,411,398.7257
2911.0112,350,398.832414
2843.4182,464,399.314127
2868.217,422,402.683168
2847.1104,458,403.4054
202.80013,41,404.50047
2214.5022,342,405.635943
2894.1138,380,406.091244
657.3992,177,407.294044
2508.0083,333,407.706464
2865.818,426,408.013642
2906.5115,359,408.263973
1377.9982,143,409.307274
2865.6184,426,410.598331
1629.3973,174,412.239452
1641.9976,165,412.319238
2873.8118,413,415.229023
2891.1147,385,416.128145
2463.807,386,417.376468
2885.7148,394,418.527405
2226.203,320,418.917868
2234.4062,302,420.164045
1629.3975,172,421.801285
2249.7039,279,423.315273
223.8001,36,424.243722
2232.4053,304,426.776051
2889.1145,388,428.582744
1691.598,326,428.61018
1566.198,285,429.216083
1277.0983,135,430.442803
1638.7976,166,433.263393
1625.5974,186,433.853639
2907.8103,356,433.908493
2610.0928,853,434.807091
211.60011,39,434.893858
1627.9973,175,435.299772
1758.9774,1000,435.752562
1816.3966,247,436.12957
1641.9976,165,438.4214
223.20009,35,439.376444
1600.9972,183,439.920987
1559.1979,282,440.942257
1717.9893,1000,441.899697
1623.1974,175,570.464409
699.9987,115,570.831427
2893.0144,380,570.939139
1621.3975,172,571.356557
2881.016,400,572.64964
585.2,62,574.228923
2898.8125,371,574.942523
2772.1335,583,576.60411
1646.7974,176,578.769391
2672.0994,750,581.356488
548.59985,121,581.883586
2858.615,439,582.226669
2835.5183,477,582.713367
2846.3206,450,582.941756
2475.6118,361,584.245759
971.09894,170,586.280334
1625.9972,180,586.878375
2865.8171,416,587.352616
206.00012,40,587.922599
2242.7039,291,588.857406
1960.1831,760,590.44292
691.19885,120,590.463864
702.9987,115,590.899699
1783.5962,224,592.122163
2895.0134,378,592.757973
1621.9973,175,593.454633
2841.2222,467,594.840612
2862.9182,431,595.464056
1772.7966,206,598.075108
571.80035,116,598.453866
2224.9072,316,598.656339
2888.7136,389,600.494567
2215.4033,337,600.811719
2155.8,433,602.085312
1612.7976,206,603.386525
1624.7971,186,605.580777
2844.8208,461,606.691805
2804.9255,518,606.77259
1624.3976,177,607.939483
584.6001,71,609.82065
2890.0142,385,610.491367
