#{"t_start": 1756474935.3582854, "env_id": null}
r,l,t
1427.0,146,4.697442
1427.0,146,4.697442
1427.0,146,4.697442
1430.0,146,4.697442
1427.0,146,4.697442
1430.0,146,4.697442
1427.0,146,4.697442
1427.0,145,8.191103
1429.0,145,8.191103
1427.0,146,8.214042
1430.0,146,8.214042
1427.0,146,8.214042
1430.0,146,8.214042
1430.0,146,8.214042
1425.0,145,11.93709
1425.0,145,11.93709
1427.0,146,11.93709
1430.0,146,11.962023
1430.0,146,11.962023
1428.0,152,12.096663
1427.0,146,15.848633
1427.0,146,15.849631
1427.0,146,15.874564
1430.0,146,15.874564
1428.0,145,15.989257
1428.0,152,16.021171
1332.0,139,19.722278
1427.0,145,19.742224
1427.0,146,19.742224
1430.0,146,19.742224
1430.0,146,19.764165
1427.0,146,19.861904
1428.0,141,23.444328
1430.0,146,23.542067
1430.0,146,23.561016
1430.0,146,23.561016
1427.0,149,23.648781
1430.0,146,23.670722
354.0,1000,26.759465
1430.0,146,27.378811
1425.0,145,27.462586
1427.0,146,27.526415
1430.0,146,27.526415
1425.0,145,27.626148
1427.0,146,27.67801
252.0,27,28.202607
252.0,27,28.273419
1428.0,152,30.911367
1429.0,148,31.208572
1427.0,146,31.231511
1430.0,146,31.280381
1430.0,146,31.960562
1427.0,146,32.042343
354.0,1000,34.663338
1430.0,146,34.811939
1430.0,146,35.097177
1427.0,146,35.123107
1430.0,146,35.16699
1429.0,146,35.955882
629.0,70,36.563258
1430.0,146,38.490108
1430.0,146,39.089505
1427.0,145,39.136379
1426.0,149,39.185249
1427.0,145,40.460838
1430.0,146,42.342808
1430.0,146,42.823523
1430.0,146,42.872392
1429.0,148,42.980104
1430.0,146,44.461145
1427.0,146,46.35608
1430.0,146,46.799893
1430.0,146,46.850757
1430.0,146,46.942512
1425.0,145,48.190177
1427.0,146,50.016295
1427.0,146,50.534909
1430.0,146,50.587768
1427.0,146,50.703459
1430.0,146,52.027917
1427.0,146,54.532223
354.0,1000,54.628964
1430.0,146,54.965065
1427.0,146,55.009945
1427.0,146,55.104692
1433.0,147,183.770818
1427.0,149,183.91942
1430.0,146,184.172743
1427.0,149,184.29342
354.0,1000,184.363233
1429.0,148,184.363233
1430.0,146,187.259491
1425.0,145,187.384157
1430.0,146,187.700312
1427.0,146,187.829967
1430.0,146,187.908755
1430.0,146,187.908755
354.0,1000,187.992532
252.0,27,188.109219
1430.0,146,190.92569
