#{"t_start": 1756029634.9784403, "env_id": null}
r,l,t
120.0,241,13.029268
208.0,358,15.555511
116.0,195,19.810132
171.0,626,21.406862
139.0,716,23.376593
-22.0,767,24.499591
62.0,562,25.336353
-86.0,1000,29.693699
-61.0,1000,29.693699
-55.0,1000,29.693699
87.0,593,33.088619
109.0,629,37.428014
78.0,1000,43.675305
150.0,96,45.839517
-58.0,1000,46.844829
-66.0,1000,47.633719
126.0,207,50.337487
-34.0,941,50.591807
-48.0,1000,51.917262
-60.0,1000,51.917262
-19.0,944,162.827517
125.0,774,163.450851
120.0,214,163.982429
131.0,205,164.042269
122.0,352,164.238743
86.0,436,165.27597
98.0,210,165.443521
338.0,150,166.765984
236.0,163,167.640645
258.0,179,169.245353
604.0,335,171.369673
148.0,102,171.4714
205.0,493,171.666877
312.0,384,174.151233
499.0,552,175.38593
606.0,361,176.044171
379.0,133,177.421487
66.0,461,177.495289
448.0,263,177.900207
485.0,622,178.583379
492.0,485,183.267851
240.0,296,183.330683
286.0,370,184.394837
406.0,89,185.333327
280.0,562,185.404138
154.0,113,185.968628
90.0,120,188.288423
580.0,452,188.465948
182.0,458,188.537757
205.0,521,191.227563
181.0,253,191.370181
175.0,623,192.764452
100.0,366,192.935993
349.0,207,193.021764
108.0,231,193.756798
373.0,134,195.900065
326.0,358,196.431645
270.0,562,198.641734
102.0,353,198.855162
322.0,371,199.403696
345.0,291,200.097839
283.0,201,200.873764
368.0,143,202.204206
305.0,298,202.686915
221.0,485,203.709182
131.0,150,203.760044
363.0,171,207.578831
89.0,312,208.145316
202.0,426,312.398503
273.0,364,314.076017
357.0,181,314.769164
280.0,171,316.195349
887.0,632,316.195349
619.0,222,316.242224
271.0,106,316.445679
72.0,495,316.555387
289.0,470,317.381177
268.0,105,318.555039
689.0,1000,318.555039
209.0,196,320.875831
348.0,200,321.065324
315.0,222,321.230881
360.0,127,321.415388
644.0,157,322.084599
350.0,285,323.722219
162.0,90,324.062309
372.0,158,324.534047
335.0,171,324.603861
328.0,162,324.950932
292.0,188,325.333908
1139.0,465,326.505774
271.0,153,327.177978
267.0,109,328.09652
148.0,47,328.583219
1189.0,623,329.273372
362.0,182,329.703223
235.0,253,330.410332
282.0,127,331.455537
764.0,304,332.230464
377.0,106,332.337178
325.0,225,332.555595
239.0,341,333.391359
354.0,197,334.468478
613.0,251,335.183566
153.0,107,335.203512
408.0,79,337.004695
383.0,204,337.345783
269.0,131,337.462471
369.0,129,338.16958
338.0,202,338.228421
841.0,330,338.557542
600.0,318,339.274624
608.0,280,339.350422
370.0,92,340.249018
424.0,121,341.009983
376.0,114,341.169556
360.0,191,341.357056
361.0,178,343.387625
610.0,279,343.680841
493.0,195,343.680841
299.0,163,343.93915
365.0,134,344.374983
140.0,211,345.750305
152.0,103,345.98767
649.0,170,347.200426
574.0,163,347.342049
586.0,161,347.989317
155.0,49,348.31445
335.0,320,348.362319
122.0,125,348.866969
806.0,519,349.252938
361.0,200,350.308115
606.0,284,350.440761
341.0,142,350.675134
367.0,145,352.479308
328.0,168,353.336017
370.0,122,353.356962
356.0,213,353.519526
258.0,135,353.761879
