#{"t_start": 1755681008.423331, "env_id": null}
r,l,t
179.0,142,4.5668
294.0,128,7.547825
306.0,379,10.094013
86.0,394,10.453053
211.0,134,10.696401
240.0,194,15.008864
144.0,603,15.357931
5.0,691,17.367555
154.0,380,19.525781
255.0,155,20.95396
149.0,387,24.354861
-46.0,1000,24.592226
244.0,1000,24.592226
78.0,1000,24.592226
176.0,439,25.490855
-20.0,76,26.660724
113.0,278,27.825608
229.0,181,29.19295
510.0,237,30.261093
450.0,1000,33.743776
6.0,68,35.31956
200.0,292,35.926935
128.0,252,36.065563
287.0,485,36.854453
50.0,794,38.394334
185.0,477,38.93389
157.0,191,39.779627
203.0,67,39.949174
253.0,211,43.844752
161.0,318,44.274603
294.0,389,45.013625
38.0,276,46.201447
175.0,278,46.414876
-41.0,85,48.183146
163.0,1000,48.203093
247.0,172,48.279887
190.0,123,49.290184
190.0,67,161.508002
83.0,1000,161.737389
259.0,327,163.211445
528.0,122,163.879657
69.0,703,164.198804
523.0,117,164.224734
110.0,30,164.931843
284.0,44,165.230045
183.0,60,166.318135
248.0,154,166.78289
198.0,139,167.093061
264.0,83,167.139935
150.0,96,168.530216
197.0,104,169.493638
393.0,120,169.902544
324.0,355,169.950417
171.0,68,170.090043
268.0,155,170.349349
177.0,504,171.722676
360.0,80,171.968019
295.0,117,172.232312
290.0,112,172.959367
68.0,45,173.004246
-5.0,72,174.64386
192.0,151,175.693053
301.0,146,176.335335
153.0,112,177.280805
889.0,362,178.331993
515.0,123,179.189699
-38.0,85,179.235576
92.0,42,179.275469
479.0,1000,179.949666
191.0,71,180.876187
180.0,227,180.96495
401.0,401,180.985893
88.0,38,181.761818
152.0,122,182.791065
485.0,1000,183.146114
515.0,142,185.114848
175.0,280,185.829935
187.0,226,186.270755
58.0,50,186.270755
133.0,237,186.555992
334.0,74,188.013094
423.0,94,188.034038
96.0,117,189.040346
316.0,293,189.693598
-16.0,76,190.775703
430.0,235,192.034336
421.0,575,192.603813
177.0,199,192.623759
146.0,1000,193.220165
88.0,37,194.067896
363.0,262,194.091832
524.0,147,194.162642
175.0,92,194.721148
295.0,94,196.87339
129.0,142,197.447854
283.0,277,198.428231
386.0,192,198.541926
200.0,258,198.580822
288.0,82,198.778294
111.0,117,200.150622
218.0,79,200.399956
276.0,81,200.399956
104.0,38,201.279602
193.0,122,201.607724
12.0,66,201.683522
214.0,71,202.047548
628.0,879,203.638293
154.0,236,203.929513
306.0,114,204.320467
197.0,105,204.53988
194.0,65,206.051835
236.0,708,206.099707
293.0,146,207.747299
581.0,269,208.035527
231.0,101,208.508263
78.0,42,305.497788
310.0,112,306.904027
31.0,59,306.925968
192.0,188,307.015729
430.0,289,307.247108
91.0,37,307.789658
64.0,48,308.946562
439.0,180,309.281665
107.0,31,309.67262
259.0,104,309.716503
227.0,153,310.638037
1825.0,584,311.572538
370.0,99,311.588495
342.0,67,312.183902
102.0,39,312.464152
626.0,120,312.464152
342.0,146,313.130369
340.0,55,313.478438
143.0,1000,313.99007
210.0,72,315.167918
88.0,116,315.186868
401.0,121,315.304553
63.0,53,316.439517
221.0,55,316.465447
695.0,720,317.067835
618.0,242,317.251345
232.0,182,317.39496
360.0,472,317.999344
201.0,103,318.890958
578.0,104,318.890958
121.0,32,319.655912
360.0,106,319.908236
277.0,88,320.079777
717.0,225,320.64726
277.0,48,320.818801
344.0,94,321.160885
91.0,43,321.899908
729.0,332,321.920852
258.0,81,322.096385
231.0,39,322.155225
371.0,88,322.866323
142.0,40,322.94611
44.0,52,324.24663
314.0,101,324.668501
176.0,109,324.810123
570.0,131,325.123286
370.0,97,325.213045
44.0,53,325.470356
372.0,228,325.511247
225.0,57,326.536504
43.0,52,326.668152
296.0,92,326.833709
226.0,103,327.225661
357.0,96,327.788156
80.0,56,328.027515
281.0,53,328.486288
337.0,99,329.161481
-17.0,75,329.788804
229.0,42,330.134877
212.0,43,331.139191
431.0,114,331.139191
718.0,207,331.430412
1.0,74,331.522166
305.0,51,332.313051
217.0,60,332.531466
909.0,316,332.531466
346.0,220,332.936383
214.0,88,334.58597
248.0,90,334.62686
291.0,123,335.179382
237.0,53,335.808698
255.0,78,336.435023
136.0,27,337.060349
692.0,259,337.439336
253.0,129,338.203292
308.0,107,338.321974
232.0,238,338.486534
36.0,62,338.538396
141.0,24,339.100891
117.0,32,339.839914
237.0,66,339.860858
263.0,67,340.052345
482.0,1000,340.770425
482.0,1000,340.959917
209.0,86,341.868487
209.0,88,341.894417
252.0,75,342.78304
421.0,198,342.903717
290.0,57,343.31761
315.0,100,344.30796
695.0,290,344.331897
277.0,83,345.295319
321.0,58,345.704225
206.0,237,345.726167
18.0,63,345.833879
573.0,225,346.167984
213.0,51,346.89504
427.0,217,347.940243
220.0,65,348.433922
725.0,168,349.752395
217.0,72,350.071541
336.0,132,351.021999
181.0,235,351.224457
366.0,72,351.463816
219.0,73,351.790941
1055.0,290,352.066206
252.0,62,352.433224
123.0,30,352.764338
316.0,59,353.165265
438.0,437,353.165265
529.0,113,452.357896
286.0,52,452.680034
352.0,54,452.723917
245.0,94,452.938344
398.0,86,453.087943
242.0,1000,453.30237
185.0,52,453.615531
145.0,23,453.639468
335.0,61,454.215926
235.0,215,454.579952
523.0,83,454.66273
70.0,44,454.66273
229.0,39,455.109535
420.0,80,455.549358
306.0,50,455.880472
102.0,39,456.523751
315.0,79,457.076273
253.0,60,457.383451
310.0,56,457.91104
733.0,135,457.976864
434.0,208,458.005786
292.0,157,458.409707
203.0,67,458.692948
114.0,34,458.71489
268.0,80,459.292344
262.0,58,459.388088
191.0,67,459.594536
214.0,80,460.566935
199.0,92,460.859152
457.0,111,460.999777
116.0,33,461.652031
241.0,52,461.786671
108.0,37,462.534671
218.0,52,463.02835
360.0,91,463.176952
603.0,164,463.450221
224.0,42,464.064577
117.0,27,464.117436
196.0,50,465.328197
240.0,57,465.457851
430.0,254,465.457851
365.0,104,465.735108
1362.0,283,466.077193
104.0,31,466.103124
215.0,55,466.744408
261.0,55,466.744408
277.0,55,467.298925
190.0,58,467.38669
253.0,37,467.57718
482.0,1000,468.155632
205.0,43,468.584485
263.0,66,468.8408
367.0,71,469.062207
1024.0,281,469.209812
108.0,36,470.05156
199.0,45,470.121373
210.0,87,470.635997
125.0,25,470.704812
224.0,220,470.842444
92.0,41,471.008001
217.0,33,471.40095
195.0,42,471.68519
90.0,43,471.991372
130.0,22,472.172885
221.0,53,472.668559
99.0,33,473.010644
318.0,51,473.235044
241.0,45,473.713763
273.0,124,473.76363
414.0,301,473.781581
283.0,55,474.483703
245.0,53,474.927516
240.0,51,474.952449
1030.0,296,475.097062
548.0,99,475.281569
87.0,43,475.493003
363.0,89,475.813146
224.0,43,475.929835
114.0,28,475.929835
369.0,72,476.632954
198.0,37,476.793524
225.0,41,476.887273
114.0,1000,477.011939
426.0,77,477.300169
101.0,33,477.580419
274.0,48,477.752957
134.0,20,478.016253
195.0,35,478.870967
239.0,61,479.224022
549.0,116,479.666837
321.0,165,479.744628
204.0,37,479.798485
456.0,474,480.024879
274.0,50,480.46969
341.0,45,480.783849
259.0,44,481.527858
358.0,77,481.633576
327.0,50,482.022534
231.0,48,483.227312
240.0,41,484.262542
616.0,215,485.183079
983.0,327,485.387532
426.0,158,485.516188
307.0,65,485.887195
54.0,50,486.416779
239.0,197,486.591312
202.0,74,487.740239
553.0,89,488.655789
103.0,33,489.496539
553.0,84,489.858571
101.0,33,490.255509
247.0,162,490.558698
361.0,59,491.151113
217.0,52,491.408425
245.0,40,492.070653
113.0,29,492.070653
60.0,48,493.15575
409.0,118,493.224566
214.0,52,493.246508
1112.0,332,493.277424
89.0,43,494.261791
343.0,56,494.515114
194.0,67,494.663716
375.0,76,494.92801
59.0,48,495.759784
385.0,440,495.866498
319.0,83,496.390098
362.0,78,496.711238
202.0,48,496.847873
222.0,55,497.643743
82.0,39,497.740485
481.0,1000,498.928307
212.0,59,499.025049
168.0,62,499.165672
417.0,174,499.841863
355.0,42,499.958551
191.0,47,500.237804
1211.0,175,604.049079
134.0,21,604.049079
112.0,1000,604.122882
324.0,62,604.754193
199.0,49,605.217952
218.0,55,606.052719
592.0,172,606.25418
533.0,95,606.372863
376.0,58,606.573326
1255.0,397,606.738882
239.0,34,606.837619
361.0,1000,607.061022
225.0,60,607.643463
380.0,55,607.855895
197.0,51,608.021451
273.0,46,608.146118
411.0,74,608.481222
226.0,208,608.947973
218.0,57,608.993851
318.0,49,609.201296
245.0,36,610.03307
567.0,161,610.145768
414.0,307,610.387123
720.0,146,611.327607
347.0,56,611.370492
197.0,35,612.163371
245.0,50,612.57128
377.0,156,612.664032
1033.0,182,612.803658
225.0,35,613.389091
384.0,55,613.468878
112.0,28,614.122131
371.0,76,614.458231
373.0,56,614.717538
207.0,34,614.937948
423.0,195,615.026711
316.0,55,616.012074
219.0,51,616.139733
634.0,339,616.190598
255.0,61,616.488799
308.0,40,617.222836
215.0,56,617.454217
236.0,59,618.013719
318.0,52,618.797623
326.0,64,618.871426
725.0,145,619.821882
302.0,42,619.901668
320.0,58,620.238767
137.0,20,620.343487
238.0,43,621.37772
394.0,61,621.918274
238.0,37,622.292273
1732.0,326,622.632363
1760.0,411,623.075179
1025.0,524,623.126043
206.0,41,623.392331
624.0,210,623.412277
372.0,62,623.542927
126.0,29,623.854095
363.0,47,624.58115
279.0,42,624.89132
255.0,63,625.019975
370.0,66,625.229416
224.0,42,625.663255
430.0,57,626.320496
189.0,56,626.62568
223.0,42,626.707461
144.0,24,626.933856
968.0,172,627.056527
216.0,38,627.673876
304.0,50,628.218419
484.0,339,628.610371
404.0,63,628.683175
246.0,40,628.706114
528.0,85,628.80485
1205.0,804,628.985367
423.0,159,629.025261
285.0,43,629.673526
206.0,47,629.872993
385.0,70,630.446458
220.0,43,630.985017
219.0,78,631.037876
276.0,77,631.626302
411.0,60,631.920514
247.0,44,632.037203
733.0,131,632.06114
272.0,52,632.277559
58.0,48,633.245969
297.0,72,633.366646
256.0,57,633.692774
1135.0,228,633.903211
518.0,440,634.213381
200.0,41,634.296159
522.0,101,634.577406
345.0,48,634.600346
469.0,112,634.725012
123.0,22,634.774879
113.0,29,635.028201
287.0,46,635.08106
236.0,70,635.490963
339.0,51,635.868952
118.0,33,635.912835
80.0,41,636.059442
301.0,71,636.36263
429.0,69,636.433441
250.0,47,636.633905
217.0,41,636.855314
429.0,51,637.177451
264.0,42,637.710027
372.0,70,637.814746
113.0,35,638.058095
214.0,53,638.207695
205.0,49,639.00955
225.0,34,639.031491
283.0,48,639.216994
302.0,135,639.788466
93.0,36,639.884209
247.0,43,640.092652
288.0,44,640.323036
222.0,45,641.229609
287.0,45,641.460992
263.0,81,641.850948
312.0,49,642.470291
957.0,552,642.8034
416.0,61,642.989903
132.0,28,643.72693
239.0,51,643.77879
365.0,84,643.97327
483.0,368,643.999201
722.0,189,644.667414
278.0,55,645.070336
341.0,63,645.304708
120.0,31,645.798387
382.0,60,646.09659
222.0,52,646.587277
315.0,114,646.759815
402.0,368,646.85556
109.0,30,646.856557
628.0,196,647.639462
217.0,48,647.771111
601.0,459,647.799036
228.0,65,648.480213
262.0,92,649.091578
268.0,59,649.32196
603.0,83,649.743832
527.0,78,649.743832
283.0,49,650.521752
719.0,155,650.7651
264.0,70,650.843889
228.0,52,651.052332
315.0,55,651.118155
1190.0,313,651.794347
1020.0,240,651.843216
447.0,140,652.022736
194.0,51,652.049664
293.0,57,652.556308
387.0,94,653.179641
409.0,74,653.704237
225.0,72,653.823918
247.0,53,653.896722
218.0,38,752.500928
286.0,50,752.605648
250.0,57,752.889887
732.0,149,753.388553
226.0,41,753.481305
123.0,26,753.992937
254.0,53,754.128574
269.0,73,754.318066
103.0,31,754.701042
375.0,54,754.722983
119.0,33,755.051105
258.0,42,755.071052
782.0,239,755.203698
330.0,49,755.857947
1222.0,216,756.007546
94.0,34,756.029488
378.0,61,756.123237
246.0,49,756.239925
336.0,51,757.030809
229.0,43,757.095636
123.0,25,757.67708
384.0,74,757.700019
238.0,48,758.154803
662.0,397,758.222621
246.0,31,758.874876
389.0,79,759.563035
225.0,46,759.958975
989.0,217,760.117551
587.0,129,761.236557
306.0,64,761.439016
702.0,183,761.943666
308.0,128,762.521121
310.0,80,763.282086
734.0,114,764.581608
344.0,64,764.765117
399.0,371,764.834931
413.0,721,765.245831
1027.0,223,765.270765
223.0,32,765.495164
233.0,47,765.662716
299.0,43,766.220225
1190.0,165,766.313974
222.0,45,766.520422
548.0,68,767.237503
225.0,39,767.448938
443.0,59,767.608511
742.0,282,767.752126
448.0,135,767.960568
242.0,40,768.387427
231.0,40,768.693607
257.0,50,769.115479
216.0,51,769.561287
1158.0,187,769.599185
273.0,40,770.091868
727.0,131,770.328235
292.0,63,771.135077
195.0,40,771.278693
240.0,54,771.370446
583.0,139,771.966851
535.0,106,772.086531
275.0,45,772.416648
376.0,58,772.616114
1524.0,278,772.848492
210.0,51,773.156668
213.0,47,773.178609
307.0,50,774.328532
539.0,79,774.454196
394.0,334,775.423603
194.0,44,775.468484
339.0,56,775.638029
295.0,134,775.97413
222.0,38,776.536626
383.0,48,776.603446
253.0,57,776.758033
1333.0,243,776.782967
110.0,30,777.305568
432.0,218,777.497056
319.0,53,777.760351
273.0,79,777.805231
287.0,50,777.920922
113.0,29,777.967797
581.0,84,778.698841
404.0,64,778.936206
340.0,49,779.033944
144.0,23,779.24837
114.0,1000,779.273304
211.0,70,779.364061
546.0,70,779.588462
135.0,26,779.853752
297.0,37,779.903617
241.0,57,780.252684
218.0,59,780.724422
375.0,55,780.846096
776.0,335,780.914914
330.0,62,781.327808
242.0,53,781.488378
235.0,42,781.687845
198.0,41,781.774613
573.0,93,781.994025
132.0,21,782.285246
223.0,41,782.654259
247.0,53,782.720083
441.0,226,783.024269
104.0,32,783.024269
249.0,30,783.359373
279.0,34,783.520941
113.0,30,783.728385
246.0,33,784.114352
261.0,47,784.611024
423.0,159,785.032896
301.0,114,785.696121
528.0,76,785.906558
1141.0,171,786.005294
368.0,72,786.301502
277.0,60,786.449106
319.0,48,787.029554
233.0,56,787.61798
422.0,79,787.845371
347.0,56,788.326085
136.0,25,788.414849
520.0,408,788.753941
422.0,100,788.753941
134.0,26,789.029205
354.0,52,789.540836
94.0,34,789.562776
691.0,261,789.81211
213.0,42,790.503261
399.0,60,791.196407
1193.0,253,791.582374
350.0,48,791.629248
211.0,30,791.93144
438.0,186,791.950389
223.0,38,792.540811
403.0,58,792.96667
187.0,49,793.096324
267.0,50,793.1422
251.0,30,793.26188
123.0,25,793.697715
367.0,66,795.25056
536.0,97,795.552752
1041.0,298,796.037455
191.0,39,796.150153
352.0,312,796.877208
242.0,35,796.952008
336.0,63,797.001876
283.0,44,797.045758
217.0,45,798.016162
237.0,32,798.751195
247.0,39,799.666746
736.0,129,799.930041
415.0,301,903.593992
1723.0,321,904.076699
250.0,34,904.104625
231.0,41,904.593317
217.0,35,905.019597
257.0,50,905.045543
212.0,31,905.355492
