#{"t_start": 1754296169.0973194, "env_id": null}
r,l,t
1852.0,196,5.509724
2359.0,269,7.090502
2357.0,275,7.222149
1579.0,151,8.884465
3045.0,382,9.715244
3043.0,394,9.977543
2998.0,617,15.749654
3048.0,368,16.253308
2364.0,257,16.632316
3041.0,402,20.109018
2367.0,252,22.462734
2354.0,288,22.812802
2930.0,929,23.365541
2578.0,640,24.837122
2177.0,1000,25.141813
3043.0,392,26.205985
2357.0,274,26.582977
2356.0,279,29.624853
3048.0,368,31.295388
2193.0,1000,31.765133
3047.0,373,33.801692
3025.0,482,34.948628
3041.0,401,36.068636
2330.0,427,36.346893
3016.0,528,37.769092
3038.0,416,39.439631
2358.0,283,40.467883
3037.0,424,41.806307
2359.0,264,43.884755
3049.0,365,44.847183
3037.0,424,45.860476
2362.0,256,46.229491
1704.0,159,47.438261
3048.0,368,47.805281
3038.0,419,160.839325
2356.0,280,161.823695
2963.0,791,162.708332
2358.0,267,163.07934
2363.0,259,163.286786
3050.0,357,163.937049
2178.0,1000,163.961983
2357.0,273,169.258832
3047.0,374,169.283765
3042.0,400,170.851576
3043.0,392,172.093259
3030.0,459,173.276099
3039.0,411,173.422709
2363.0,264,175.800355
2355.0,285,176.307002
2188.0,1000,177.626478
3045.0,382,181.454251
3039.0,412,183.018074
3039.0,411,185.601172
3051.0,355,185.638073
209.0,1000,187.127095
3046.0,377,189.860792
3050.0,358,193.494085
3048.0,369,193.808246
2914.0,1000,193.904987
3041.0,405,196.037291
2198.0,1000,196.148993
2184.0,1000,198.090805
3044.0,389,198.363077
2358.0,267,199.415267
2358.0,266,199.780291
3047.0,371,204.381
3045.0,381,204.71012
2194.0,1000,205.268629
2638.0,324,205.655595
3031.0,452,320.526239
3037.0,425,321.614332
3031.0,453,321.890594
2356.0,279,322.952757
2355.0,282,323.906209
3044.0,386,325.601679
2187.0,1000,328.40519
3043.0,393,329.297805
1950.0,189,329.85033
3042.0,400,330.672133
2645.0,305,330.886561
3043.0,395,331.970665
3033.0,442,331.989614
2974.0,738,334.685411
2361.0,271,335.615926
2353.0,298,337.387194
3043.0,394,337.408139
3030.0,459,341.79442
2351.0,305,342.495547
3025.0,484,344.800389
3038.0,388,348.929358
1923.0,203,350.35455
2361.0,265,350.452289
2352.0,296,350.840253
2975.0,731,355.487836
2190.0,1000,355.975534
2182.0,1000,357.873464
3038.0,417,360.381762
3041.0,401,360.381762
3022.0,500,360.938275
3020.0,506,362.2767
2355.0,281,362.349504
203.0,1000,363.432611
3044.0,388,364.255413
2351.0,301,364.692245
3043.0,391,477.263828
3040.0,408,477.644811
3050.0,359,478.501523
2355.0,285,478.766814
2358.0,293,479.362223
3044.0,387,480.216939
2365.0,264,483.452296
2366.0,252,484.062665
3051.0,353,485.060998
2353.0,293,485.24351
3042.0,399,488.160717
3043.0,391,488.827934
2358.0,267,490.890424
2162.0,1000,491.179652
3045.0,382,491.807973
3049.0,361,491.942613
2178.0,1000,492.454247
3047.0,375,493.366808
3043.0,392,496.703893
2353.0,291,497.612465
3040.0,409,497.817916
2358.0,275,499.484464
3045.0,382,500.950547
3036.0,428,501.258724
3051.0,352,504.511035
2998.0,619,504.549931
2351.0,305,506.244405
2365.0,250,506.471797
1048.0,108,508.831494
2368.0,250,510.041262
2990.0,657,512.27629
489.0,666,512.27629
2193.0,1000,514.007664
3044.0,389,517.373672
3045.0,382,518.424863
3004.0,586,519.069142
3029.0,462,629.856166
2174.0,1000,630.672984
2365.0,245,631.212542
2358.0,282,632.66566
1440.0,136,633.587198
2474.0,1000,633.803619
3030.0,459,634.814919
3048.0,367,637.846818
2358.0,279,638.820218
2364.0,254,639.257052
3045.0,384,639.68391
2358.0,267,639.7627
2178.0,1000,641.610762
3052.0,347,642.421596
2189.0,1000,643.285288
2350.0,307,645.82251
819.0,122,645.880356
3044.0,389,648.257006
3024.0,487,649.590445
2365.0,247,651.564172
3004.0,586,654.636962
2364.0,269,655.7081
3046.0,377,656.962748
3009.0,563,658.948443
2968.0,766,659.91187
1440.0,136,660.157215
2185.0,1000,660.477358
2364.0,262,660.904219
2182.0,1000,662.201753
1578.0,150,662.218707
2644.0,315,662.967706
3010.0,556,664.338045
2368.0,246,665.33538
2355.0,283,666.691756
2363.0,253,668.593675
3051.0,355,668.728315
1708.0,166,670.427776
3028.0,467,672.612938
3023.0,493,673.204359
1578.0,150,782.781613
3029.0,461,785.791571
3015.0,534,787.28558
2187.0,1000,789.070811
3039.0,415,789.140625
2914.0,1000,793.179833
2914.0,1000,794.220055
3046.0,380,797.5342
2922.0,998,799.315441
2162.0,1000,804.902514
2914.0,1000,807.847647
3024.0,488,808.367259
2914.0,1000,809.299768
1048.0,108,810.669109
2180.0,1000,811.159798
214.0,1000,815.389498
2357.0,274,815.409444
2914.0,1000,816.38085
2948.0,868,818.42838
2356.0,279,822.51945
3044.0,387,823.82596
3039.0,410,824.364522
658.0,1000,934.465377
2356.0,276,936.273546
819.0,122,937.335709
2914.0,1000,937.685774
2355.0,299,938.302126
2931.0,952,939.734301
2914.0,1000,941.361953
1574.0,157,941.490609
2346.0,333,944.057751
2958.0,816,944.530488
1701.0,163,944.939396
2357.0,274,947.511523
3024.0,458,947.779807
3031.0,452,948.508859
2961.0,800,950.152467
1440.0,137,950.564368
2355.0,282,951.20366
3041.0,402,953.387825
2364.0,254,955.795392
3012.0,546,956.205298
2350.0,307,957.746691
3050.0,357,960.879849
2914.0,1000,963.689342
2354.0,288,963.90776
2355.0,283,965.653132
3049.0,361,966.259512
3011.0,555,968.312029
2365.0,251,971.294061
1929.0,192,971.479567
2357.0,272,971.613209
2177.0,1000,974.029752
2357.0,289,974.769776
2914.0,1000,974.969243
2643.0,319,977.646092
2355.0,283,978.985513
2970.0,758,980.992153
2355.0,284,981.331246
2359.0,265,981.522734
2356.0,276,981.933637
