#{"t_start": 1755466578.2233293, "env_id": null}
r,l,t
242.0,37,11.896064
346.0,42,12.027711
336.0,54,13.314268
883.0,102,13.468854
996.0,112,13.714197
982.0,135,14.260734
323.0,45,14.386398
569.0,175,15.123425
347.0,48,15.461521
368.0,48,16.552601
724.0,210,16.771016
1330.0,164,17.208843
556.0,268,17.254721
1485.0,157,17.279654
1099.0,137,17.351462
367.0,39,17.455184
1679.0,320,18.490414
423.0,55,18.582168
446.0,82,19.292268
619.0,81,19.36607
553.0,63,20.831149
799.0,154,20.878023
1001.0,102,20.96878
1193.0,196,21.771631
354.0,59,22.157598
1321.0,253,22.661251
1239.0,170,23.238705
353.0,46,23.260647
1121.0,228,23.792224
773.0,375,23.828128
361.0,68,25.428843
1655.0,192,25.428843
543.0,97,25.525584
1188.0,160,25.525584
745.0,142,25.973386
790.0,230,26.205764
1140.0,130,26.253636
208.0,36,26.340403
229.0,43,26.495987
370.0,66,26.91686
634.0,75,28.029882
257.0,50,28.053817
1249.0,147,28.79982
214.0,40,28.974353
257.0,51,29.234657
789.0,139,29.368299
1100.0,153,29.74529
204.0,39,29.854
93.0,34,30.17115
259.0,41,30.199075
772.0,189,30.33571
1343.0,224,31.683104
639.0,118,32.641539
1483.0,383,32.665475
1478.0,179,32.945724
1142.0,143,33.073383
361.0,56,33.917126
861.0,99,33.971978
634.0,167,34.212334
349.0,50,35.210662
239.0,31,35.981599
752.0,269,36.591965
1109.0,144,36.591965
218.0,47,37.063703
1928.0,218,38.193678
638.0,73,38.77612
1391.0,200,38.798061
366.0,44,39.832292
250.0,29,40.474574
1159.0,173,40.638136
1400.0,277,40.807683
360.0,41,41.462929
1223.0,145,41.598565
1048.0,142,42.109198
1023.0,240,42.199956
348.0,45,42.468238
672.0,82,42.53805
1093.0,431,42.827276
247.0,38,43.32295
385.0,97,44.360174
330.0,48,44.380121
251.0,33,45.19494
1381.0,139,45.29966
1116.0,133,45.613819
1680.0,180,45.731503
542.0,70,46.85749
1083.0,191,47.276369
875.0,106,47.78401
227.0,44,47.871775
1295.0,307,47.943583
789.0,163,48.214857
1137.0,121,48.421305
1494.0,147,49.130406
869.0,111,50.366099
537.0,153,51.444213
886.0,197,51.851125
1246.0,162,52.2341
1234.0,132,52.260031
358.0,46,52.54427
203.0,46,53.589472
481.0,1000,53.637344
465.0,63,53.736079
752.0,81,54.183881
204.0,38,54.518984
737.0,285,54.635672
251.0,47,54.76333
215.0,40,55.421568
237.0,63,56.268302
686.0,113,56.37003
1140.0,193,56.416904
323.0,44,56.484723
1328.0,263,56.557528
340.0,46,57.585776
603.0,165,58.500329
637.0,87,58.522269
1880.0,210,160.471807
735.0,119,160.589492
360.0,47,161.004381
1485.0,171,161.774321
344.0,42,162.007697
806.0,203,162.393663
1232.0,175,163.110743
372.0,61,163.8368
1248.0,144,163.862731
1034.0,172,163.940523
523.0,85,164.02031
1153.0,632,164.468111
342.0,44,165.013651
364.0,70,165.54822
1268.0,171,165.856395
226.0,37,165.97807
1117.0,120,166.023946
1209.0,241,166.317163
260.0,42,166.526601
249.0,33,166.735043
247.0,34,167.479053
578.0,134,167.593745
392.0,56,167.766283
1676.0,178,168.016613
1031.0,190,168.378645
552.0,59,168.885289
1120.0,133,168.936152
358.0,75,169.563473
1195.0,163,169.779895
561.0,73,170.544847
816.0,129,170.587732
258.0,48,170.639593
1096.0,190,170.688462
403.0,49,170.923832
324.0,43,171.584065
1669.0,172,172.044832
1126.0,150,172.380933
856.0,97,173.131922
648.0,79,173.358316
385.0,53,173.590694
1023.0,227,173.635574
1133.0,180,174.844339
668.0,87,175.375916
872.0,106,175.581367
1480.0,163,175.780833
759.0,233,175.959355
266.0,35,176.395188
1143.0,126,176.499908
520.0,83,177.296775
732.0,194,178.126554
211.0,41,178.232271
883.0,373,179.257527
1127.0,126,179.421089
1245.0,161,179.520822
550.0,63,179.704331
1385.0,171,180.372543
236.0,34,180.517156
253.0,34,181.238226
1444.0,292,181.572331
1143.0,124,182.258495
321.0,47,182.321327
869.0,91,182.493865
733.0,304,183.004498
1036.0,225,183.315666
381.0,50,183.427367
117.0,25,183.564001
1560.0,189,183.862203
666.0,72,184.004821
246.0,31,184.029754
111.0,28,184.20728
216.0,40,184.926355
779.0,273,185.660391
251.0,28,185.685323
1374.0,149,186.042368
1140.0,195,186.274745
604.0,100,186.553998
1153.0,131,186.683651
994.0,116,186.785379
400.0,52,187.03172
573.0,117,187.228194
556.0,72,187.597206
233.0,40,187.625132
118.0,24,187.860502
383.0,53,188.437956
200.0,42,188.697262
90.0,35,188.78004
872.0,105,188.803977
958.0,97,189.338545
1118.0,141,190.372777
539.0,78,190.744782
160.0,32,191.223501
1125.0,222,192.045301
