#{"t_start": 1756655724.7774348, "env_id": null}
r,l,t
182.0,141,74.06742
215.0,107,76.481967
-32.0,357,78.988266
408.0,927,91.727213
-46.0,1000,93.302999
485.0,1000,93.302999
156.0,1000,93.303997
169.0,1000,93.303997
285.0,1000,93.303997
173.0,79,93.749807
300.0,1000,99.127431
230.0,1000,101.631738
-1.0,516,105.125398
217.0,54,106.367078
163.0,1000,116.045206
399.0,1000,116.045206
139.0,1000,116.045206
313.0,1000,116.045206
177.0,1000,116.223728
103.0,144,229.588246
316.0,1000,231.761436
349.0,1000,234.262751
473.0,1000,238.93127
184.0,89,240.975804
346.0,1000,248.857734
486.0,1000,248.857734
413.0,1000,248.857734
414.0,1000,248.857734
732.0,373,249.585788
126.0,109,251.379991
413.0,1000,252.306515
223.0,67,253.699791
462.0,1000,254.397924
477.0,1000,256.890261
179.0,129,257.345046
611.0,895,268.880209
520.0,537,269.286124
191.0,59,270.156797
421.0,960,270.979597
416.0,1000,271.140169
329.0,1000,271.140169
97.0,92,272.189364
410.0,1000,379.467584
647.0,1000,381.951942
558.0,218,381.974882
596.0,256,383.953592
470.0,1000,385.149395
575.0,374,385.353848
225.0,55,386.33323
756.0,439,386.92066
214.0,87,387.221855
566.0,254,387.606826
498.0,618,396.754373
449.0,1000,401.660257
478.0,1000,408.593724
468.0,1000,410.489655
690.0,679,412.969027
657.0,1000,413.119625
477.0,1000,413.695086
663.0,1000,414.003262
658.0,1000,414.397209
206.0,62,414.438099
228.0,50,415.529183
220.0,86,415.554116
604.0,233,415.772532
601.0,138,416.964346
678.0,783,419.541457
609.0,255,421.297762
690.0,409,424.798405
602.0,245,424.990889
180.0,86,426.948656
895.0,920,429.261473
940.0,657,537.873129
706.0,439,540.666661
661.0,1000,541.373771
626.0,1000,542.845836
1394.0,353,543.238785
737.0,276,544.095496
246.0,37,544.152343
636.0,157,544.213181
485.0,1000,544.322887
225.0,44,545.081859
226.0,57,545.530658
216.0,72,545.604461
218.0,47,546.066227
228.0,46,546.49508
628.0,195,548.437887
470.0,1000,549.690538
231.0,36,550.506358
193.0,65,551.9495
473.0,1000,555.244691
245.0,41,556.236041
1232.0,652,561.061141
588.0,844,561.704423
485.0,1000,563.632269
735.0,544,564.028211
591.0,161,565.182126
216.0,75,565.265902
658.0,922,566.027865
222.0,67,566.592356
221.0,58,567.359306
658.0,1000,568.271866
706.0,141,568.360629
214.0,53,569.471659
460.0,1000,570.676438
183.0,64,570.894855
224.0,52,571.802429
609.0,174,572.229287
216.0,62,573.695368
1202.0,855,575.18738
735.0,375,575.792761
663.0,674,579.185691
